Sample Name, AUS25x23_26G
Freq, 26, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 50 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.638000E+2	4.800070E-6	-1.508750E-7
-6.640000E+2	2.872210E-6	0.000000E+0
-6.636000E+2	2.814470E-6	4.470370E-8
-6.632000E+2	2.723200E-6	7.636890E-8
-6.486000E+2	2.751140E-6	3.352780E-8
-6.486000E+2	2.751140E-6	3.352780E-8
-6.238000E+2	2.814470E-6	7.823160E-8
-5.980000E+2	3.019360E-6	1.154840E-7
-5.822000E+2	3.175820E-6	5.960510E-8
-5.526000E+2	3.451500E-6	2.235190E-8
-5.360000E+2	3.507380E-6	1.341110E-7
-5.060000E+2	3.801670E-6	-8.195680E-8
-5.060000E+2	3.801670E-6	-8.195680E-8
-4.903000E+2	3.993540E-6	-2.700850E-7
-4.482000E+2	4.204020E-6	-5.587960E-8
-4.327000E+2	4.394010E-6	-4.284110E-8
-4.076000E+2	4.736740E-6	5.587960E-8
-3.976000E+2	4.947210E-6	7.823160E-8
-3.757000E+2	5.269450E-6	1.136220E-7
-3.671000E+2	5.507870E-6	8.754480E-8
-3.476000E+2	5.969810E-6	1.415620E-7
-3.392000E+2	6.185870E-6	1.899910E-7
-3.207000E+2	6.185870E-6	1.899910E-7
-3.117000E+2	6.709280E-6	1.341110E-7
-2.929000E+2	6.854560E-6	8.009420E-8
-2.811000E+2	6.917890E-6	2.607710E-8
-2.605000E+2	6.917890E-6	-1.676390E-8
-2.605000E+2	6.917890E-6	-1.676390E-8
-2.378000E+2	6.575170E-6	-1.117590E-8
-2.181000E+2	6.122540E-6	5.960510E-8
-2.068000E+2	5.953040E-6	1.210730E-7
-1.937000E+2	5.740700E-6	2.775360E-7
-1.716000E+2	5.340230E-6	3.483160E-7
-1.606000E+2	4.982600E-6	3.799810E-7
-1.408000E+2	4.394010E-6	2.086170E-7
-1.303000E+2	4.222650E-6	1.844030E-7
-1.103000E+2	3.898550E-6	1.937160E-7
-1.103000E+2	3.898550E-6	1.937160E-7
-9.130000E+1	3.555800E-6	1.154840E-7
-6.790000E+1	3.129260E-6	8.940740E-8
-5.890000E+1	2.810750E-6	1.732270E-7
-3.770000E+1	2.330180E-6	1.415620E-7
-2.860000E+1	2.147640E-6	1.732270E-7
-7.800000E+0	1.570220E-6	2.160680E-7
4.100000E+0	1.432380E-6	1.601880E-7
1.490000E+1	1.186510E-6	2.216560E-7
3.720000E+1	6.295780E-7	2.793980E-8
4.710000E+1	2.551840E-7	8.754480E-8
6.730000E+1	-4.339980E-7	8.754480E-8
7.760000E+1	-9.015240E-7	1.266610E-7
7.760000E+1	-9.015240E-7	1.266610E-7
1.083000E+2	-1.929710E-6	8.754480E-8
1.232000E+2	-2.359990E-6	2.272440E-7
1.426000E+2	-2.952310E-6	3.483160E-7
1.538000E+2	-3.093870E-6	2.849870E-7
1.729000E+2	-3.471990E-6	1.434250E-7
1.729000E+2	-3.471990E-6	1.434250E-7
2.033000E+2	-4.174220E-6	2.011670E-7
2.145000E+2	-4.341850E-6	1.862650E-7
2.340000E+2	-4.874570E-6	1.583260E-7
2.446000E+2	-5.275040E-6	1.527380E-7
2.644000E+2	-5.921380E-6	5.029160E-8
2.746000E+2	-6.096470E-6	-7.264360E-8
2.949000E+2	-6.437330E-6	-1.825400E-7
3.045000E+2	-6.452230E-6	-3.073380E-7
3.141000E+2	-6.634770E-6	-2.607720E-7
3.379000E+2	-6.748390E-6	-2.365570E-7
3.470000E+2	-6.735350E-6	-2.607720E-7
3.686000E+2	-6.467130E-6	-1.676390E-7
3.782000E+2	-6.301360E-6	-8.940740E-8
4.024000E+2	-5.872950E-6	-9.872060E-8
4.115000E+2	-5.632670E-6	-1.378370E-7
4.328000E+2	-5.222890E-6	-1.769520E-7
4.420000E+2	-5.068290E-6	-1.471500E-7
4.533000E+2	-4.803790E-6	-1.974410E-7
4.750000E+2	-4.323230E-6	-1.955790E-7
