Sample Name, Varga_5_4_22G
Freq, 22, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 20 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.878000E+2	-2.607710E-8	-4.004710E-8
-6.883000E+2	-7.823160E-8	1.862660E-9
-6.878000E+2	-4.749770E-8	-2.142050E-8
-6.795000E+2	-6.891830E-8	2.048920E-8
-6.712000E+2	-6.798700E-8	1.583260E-8
-6.583000E+2	-3.539050E-8	-1.769520E-8
-6.328000E+2	-8.195680E-8	3.632180E-8
-6.169000E+2	-3.818450E-8	-9.313280E-9
-6.032000E+2	-6.519300E-8	2.793980E-8
-5.717000E+2	-3.166520E-8	-7.450640E-9
-5.588000E+2	-2.142050E-8	-1.955790E-8
-5.284000E+2	-1.396990E-8	-3.818450E-8
-5.167000E+2	-5.587960E-9	-4.563500E-8
-4.939000E+2	-3.725320E-9	-3.445920E-8
-4.833000E+2	-8.381960E-9	-2.235190E-8
-4.646000E+2	2.793980E-8	-3.632180E-8
-4.554000E+2	-7.450640E-9	7.450640E-9
-4.403000E+2	4.936030E-8	-3.166520E-8
-4.327000E+2	1.769520E-8	1.117590E-8
-4.248000E+2	7.543760E-8	-3.352780E-8
-4.098000E+2	6.612440E-8	6.519290E-9
-4.024000E+2	7.916290E-8	-2.607710E-8
-3.876000E+2	6.705570E-8	-2.048920E-8
-3.791000E+2	1.396990E-8	1.769520E-8
-3.726000E+2	4.936030E-8	-1.583260E-8
-3.561000E+2	6.519300E-8	-1.490130E-8
-3.492000E+2	9.313270E-8	-2.700850E-8
-3.297000E+2	8.568210E-8	1.583260E-8
-3.221000E+2	1.210730E-7	-1.769520E-8
-3.046000E+2	1.341110E-7	-2.142050E-8
-2.974000E+2	1.145530E-7	-5.587960E-9
-2.798000E+2	9.778930E-8	2.607710E-8
-2.727000E+2	1.350430E-7	-1.583260E-8
-2.556000E+2	1.499440E-7	-1.490130E-8
-2.485000E+2	1.275920E-7	4.656640E-9
-2.320000E+2	1.220040E-7	-9.313280E-9
-2.245000E+2	1.415620E-7	-3.632180E-8
-2.140000E+2	1.201420E-7	-1.396990E-8
-1.990000E+2	1.564630E-7	-3.539050E-8
-1.889000E+2	1.424930E-7	-3.725320E-9
-1.730000E+2	1.927850E-7	-1.024460E-8
-1.646000E+2	1.704330E-7	2.328320E-8
-1.491000E+2	1.993040E-7	-7.450640E-9
-1.401000E+2	1.629820E-7	2.887110E-8
-1.320000E+2	1.778840E-7	1.210730E-8
-1.155000E+2	2.253810E-7	-1.676390E-8
-1.054000E+2	1.899910E-7	1.676390E-8
-8.960000E+1	2.132740E-7	6.519290E-9
-8.140000E+1	2.337630E-7	-1.490130E-8
-6.530000E+1	1.844030E-7	3.445920E-8
-5.770000E+1	2.393520E-7	-2.235190E-8
-4.110000E+1	2.002350E-7	9.313300E-10
-3.380000E+1	2.225870E-7	-4.936030E-8
-1.690000E+1	1.788150E-7	-3.725310E-8
-1.000000E+1	1.266610E-7	-1.769520E-8
6.900000E+0	6.519300E-8	-1.303860E-8
1.380000E+1	6.984960E-8	-3.632180E-8
2.280000E+1	-1.490130E-8	1.769520E-8
4.020000E+1	-9.592670E-8	-1.955790E-8
4.830000E+1	-1.462190E-7	-6.519290E-9
6.660000E+1	-1.918530E-7	-2.421450E-8
7.410000E+1	-2.067550E-7	-3.166520E-8
9.050000E+1	-2.114110E-7	-3.166520E-8
9.850000E+1	-2.579780E-7	2.328320E-8
1.145000E+2	-1.834710E-7	-2.142050E-8
1.231000E+2	-2.216560E-7	4.190970E-8
1.336000E+2	-2.132740E-7	4.097840E-8
1.489000E+2	-2.225870E-7	5.215430E-8
1.580000E+2	-2.020980E-7	3.539050E-8
1.733000E+2	-2.225870E-7	3.725310E-8
1.821000E+2	-2.142050E-7	2.328320E-8
1.979000E+2	-2.002350E-7	2.421450E-8
2.062000E+2	-1.695020E-7	0.000000E+0
2.224000E+2	-1.871970E-7	8.381960E-9
