Sample Name, Varga_5_4_24G
Freq, 24, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 20 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.660000E-5,-6.735000E+2,7.897650E-7,4.470370E-8,7.910292E-7,3.239702E+0
2.338880E-2,-6.735000E+2,7.897650E-7,4.470370E-8,7.910292E-7,3.239702E+0
2.231748E-1,-6.726000E+2,8.204990E-7,1.676390E-8,8.206702E-7,1.170467E+0
4.231745E-1,-6.720000E+2,7.944220E-7,2.514580E-8,7.948199E-7,1.812975E+0
6.231814E-1,-6.655000E+2,8.065290E-7,1.490130E-8,8.066666E-7,1.058467E+0
8.231860E-1,-6.578000E+2,8.437820E-7,-1.583260E-8,8.439305E-7,-1.074963E+0
1.023240E+0,-6.326000E+2,8.298120E-7,2.514580E-8,8.301929E-7,1.735703E+0
1.223187E+0,-6.216000E+2,9.005930E-7,-4.097840E-8,9.015248E-7,-2.605251E+0
1.424188E+0,-6.083000E+2,9.210820E-7,-2.421450E-8,9.214002E-7,-1.505913E+0
1.623161E+0,-5.789000E+2,9.778960E-7,-2.142050E-8,9.781306E-7,-1.254845E+0
1.823202E+0,-5.658000E+2,1.003040E-6,-8.381960E-9,1.003075E-6,-4.787843E-1
2.024259E+0,-5.397000E+2,1.081270E-6,-1.955790E-8,1.081447E-6,-1.036247E+0
2.224211E+0,-5.267000E+2,1.088720E-6,4.656640E-9,1.088730E-6,2.450623E-1
2.423186E+0,-5.004000E+2,1.185580E-6,-2.607710E-8,1.185867E-6,-1.260030E+0
2.624247E+0,-4.900000E+2,1.206070E-6,-2.142050E-8,1.206260E-6,-1.017499E+0
2.823147E+0,-4.786000E+2,1.219110E-6,2.328320E-8,1.219332E-6,1.094132E+0
3.023150E+0,-4.589000E+2,1.310380E-6,2.235190E-8,1.310571E-6,9.772321E-1
3.223184E+0,-4.495000E+2,1.364390E-6,2.328320E-8,1.364589E-6,9.776528E-1
3.423174E+0,-4.331000E+2,1.480810E-6,-4.190970E-8,1.481403E-6,-1.621145E+0
3.624287E+0,-4.256000E+2,1.471500E-6,1.117590E-8,1.471542E-6,4.351475E-1
3.824163E+0,-4.161000E+2,1.480810E-6,2.328320E-8,1.480993E-6,9.008037E-1
4.023189E+0,-4.028000E+2,1.579530E-6,2.793980E-9,1.579532E-6,1.013486E-1
4.223217E+0,-3.937000E+2,1.584190E-6,3.632180E-8,1.584606E-6,1.313429E+0
4.424183E+0,-3.873000E+2,1.646590E-6,9.313280E-9,1.646616E-6,3.240673E-1
4.623199E+0,-3.716000E+2,1.668940E-6,3.259650E-8,1.669258E-6,1.118916E+0
4.823183E+0,-3.649000E+2,1.685700E-6,4.377240E-8,1.686268E-6,1.487459E+0
5.024193E+0,-3.461000E+2,1.748100E-6,3.445920E-8,1.748440E-6,1.129290E+0
5.223239E+0,-3.385000E+2,1.787220E-6,2.235190E-8,1.787360E-6,7.165334E-1
5.423182E+0,-3.212000E+2,1.860790E-6,2.142050E-8,1.860913E-6,6.595317E-1
5.624190E+0,-3.137000E+2,1.942750E-6,-5.587960E-9,1.942758E-6,-1.648002E-1
5.824171E+0,-2.962000E+2,2.047990E-6,-1.210730E-8,2.048026E-6,-3.387170E-1
6.023302E+0,-2.890000E+2,2.047990E-6,1.117590E-8,2.048020E-6,3.126605E-1
6.224159E+0,-2.716000E+2,2.131810E-6,1.862660E-8,2.131891E-6,5.006067E-1
6.423174E+0,-2.646000E+2,2.215630E-6,-2.142050E-8,2.215734E-6,-5.539129E-1
6.623145E+0,-2.554000E+2,2.269650E-6,-2.514580E-8,2.269789E-6,-6.347628E-1
6.823229E+0,-2.383000E+2,2.334840E-6,-2.514580E-8,2.334975E-6,-6.170412E-1
7.023238E+0,-2.299000E+2,2.358120E-6,0.000000E+0,2.358120E-6,0.000000E+0
7.223183E+0,-2.122000E+2,2.435420E-6,-5.587960E-9,2.435426E-6,-1.314623E-1
7.424190E+0,-2.046000E+2,2.497820E-6,-9.313280E-9,2.497837E-6,-2.136300E-1
7.623186E+0,-1.942000E+2,2.485710E-6,3.445920E-8,2.485949E-6,7.942360E-1
7.824217E+0,-1.790000E+2,2.572330E-6,1.862660E-8,2.572397E-6,4.148795E-1
8.023239E+0,-1.679000E+2,2.640310E-6,-4.656640E-9,2.640314E-6,-1.010508E-1
8.224191E+0,-1.528000E+2,2.741830E-6,-2.793980E-8,2.741972E-6,-5.838353E-1
8.423153E+0,-1.436000E+2,2.742760E-6,1.024460E-8,2.742779E-6,2.140069E-1
8.624190E+0,-1.285000E+2,2.842410E-6,-1.862660E-8,2.842471E-6,-3.754597E-1
8.823223E+0,-1.193000E+2,2.831240E-6,2.793980E-8,2.831378E-6,5.653991E-1
9.024190E+0,-1.049000E+2,2.955100E-6,-1.676390E-8,2.955148E-6,-3.250281E-1
9.223181E+0,-9.580000E+1,2.981180E-6,-4.656640E-9,2.981184E-6,-8.949664E-2
9.423185E+0,-8.820000E+1,2.996080E-6,1.955790E-8,2.996144E-6,3.740118E-1
9.623197E+0,-6.910000E+1,3.096660E-6,7.450640E-9,3.096669E-6,1.378548E-1
9.824255E+0,-6.190000E+1,3.156270E-6,9.313300E-10,3.156270E-6,1.690644E-2
1.002318E+1,-4.330000E+1,3.321110E-6,-3.818450E-8,3.321330E-6,-6.587299E-1
1.022319E+1,-3.540000E+1,3.377920E-6,-6.984960E-8,3.378642E-6,-1.184610E+0
1.042318E+1,-2.610000E+1,3.295030E-6,-7.171230E-8,3.295810E-6,-1.246776E+0
1.062424E+1,-9.100000E+0,2.664530E-6,-2.980250E-8,2.664697E-6,-6.408208E-1
1.082319E+1,-2.200000E+0,2.176520E-6,-3.259650E-8,2.176764E-6,-8.580221E-1
1.102315E+1,6.600000E+0,1.520860E-6,2.048920E-8,1.520998E-6,7.718486E-1
1.122318E+1,2.420000E+1,-2.793980E-8,-2.328320E-8,3.636949E-8,-1.401944E+2
1.142315E+1,3.210000E+1,-7.785890E-7,2.514580E-8,7.789950E-7,1.781502E+2
1.162318E+1,4.800000E+1,-1.994910E-6,5.681090E-8,1.995719E-6,1.783688E+2
1.182319E+1,5.640000E+1,-2.400030E-6,5.774220E-8,2.400725E-6,1.786218E+2
1.202423E+1,7.390000E+1,-2.875940E-6,4.097840E-8,2.876232E-6,1.791837E+2
1.222427E+1,8.270000E+1,-3.024020E-6,5.587960E-8,3.024536E-6,1.789414E+2
1.242318E+1,9.760000E+1,-3.083620E-6,9.313280E-9,3.083634E-6,1.798270E+2
1.262319E+1,1.058000E+2,-3.127400E-6,5.308560E-8,3.127851E-6,1.790275E+2
1.282318E+1,1.146000E+2,-3.068720E-6,1.024460E-8,3.068737E-6,1.798087E+2
1.302318E+1,1.304000E+2,-3.092010E-6,7.171230E-8,3.092841E-6,1.786714E+2
1.322320E+1,1.457000E+2,-2.997940E-6,1.862660E-9,2.997941E-6,1.799644E+2
1.342423E+1,1.549000E+2,-2.997940E-6,5.122300E-8,2.998378E-6,1.790211E+2
1.362317E+1,1.701000E+2,-2.894570E-6,1.955790E-8,2.894636E-6,1.796129E+2
1.382318E+1,1.793000E+2,-2.874080E-6,3.259650E-8,2.874265E-6,1.793502E+2
1.402317E+1,1.866000E+2,-2.780940E-6,-1.583260E-8,2.780985E-6,-1.796738E+2
1.422315E+1,2.052000E+2,-2.766970E-6,3.166520E-8,2.767151E-6,1.793443E+2
1.442318E+1,2.131000E+2,-2.694330E-6,-8.381960E-9,2.694343E-6,-1.798218E+2
1.462420E+1,2.296000E+2,-2.590020E-6,-4.004710E-8,2.590330E-6,-1.791142E+2
1.482318E+1,2.394000E+2,-2.567670E-6,-4.470370E-8,2.568059E-6,-1.790026E+2
1.502318E+1,2.464000E+2,-2.524830E-6,-5.494830E-8,2.525428E-6,-1.787533E+2
