Sample Name, Varga_5_4_24G
Freq, 24, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 20 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.735000E+2	7.897650E-7	4.470370E-8
-6.735000E+2	7.897650E-7	4.470370E-8
-6.726000E+2	8.204990E-7	1.676390E-8
-6.720000E+2	7.944220E-7	2.514580E-8
-6.655000E+2	8.065290E-7	1.490130E-8
-6.578000E+2	8.437820E-7	-1.583260E-8
-6.326000E+2	8.298120E-7	2.514580E-8
-6.216000E+2	9.005930E-7	-4.097840E-8
-6.083000E+2	9.210820E-7	-2.421450E-8
-5.789000E+2	9.778960E-7	-2.142050E-8
-5.658000E+2	1.003040E-6	-8.381960E-9
-5.397000E+2	1.081270E-6	-1.955790E-8
-5.267000E+2	1.088720E-6	4.656640E-9
-5.004000E+2	1.185580E-6	-2.607710E-8
-4.900000E+2	1.206070E-6	-2.142050E-8
-4.786000E+2	1.219110E-6	2.328320E-8
-4.589000E+2	1.310380E-6	2.235190E-8
-4.495000E+2	1.364390E-6	2.328320E-8
-4.331000E+2	1.480810E-6	-4.190970E-8
-4.256000E+2	1.471500E-6	1.117590E-8
-4.161000E+2	1.480810E-6	2.328320E-8
-4.028000E+2	1.579530E-6	2.793980E-9
-3.937000E+2	1.584190E-6	3.632180E-8
-3.873000E+2	1.646590E-6	9.313280E-9
-3.716000E+2	1.668940E-6	3.259650E-8
-3.649000E+2	1.685700E-6	4.377240E-8
-3.461000E+2	1.748100E-6	3.445920E-8
-3.385000E+2	1.787220E-6	2.235190E-8
-3.212000E+2	1.860790E-6	2.142050E-8
-3.137000E+2	1.942750E-6	-5.587960E-9
-2.962000E+2	2.047990E-6	-1.210730E-8
-2.890000E+2	2.047990E-6	1.117590E-8
-2.716000E+2	2.131810E-6	1.862660E-8
-2.646000E+2	2.215630E-6	-2.142050E-8
-2.554000E+2	2.269650E-6	-2.514580E-8
-2.383000E+2	2.334840E-6	-2.514580E-8
-2.299000E+2	2.358120E-6	0.000000E+0
-2.122000E+2	2.435420E-6	-5.587960E-9
-2.046000E+2	2.497820E-6	-9.313280E-9
-1.942000E+2	2.485710E-6	3.445920E-8
-1.790000E+2	2.572330E-6	1.862660E-8
-1.679000E+2	2.640310E-6	-4.656640E-9
-1.528000E+2	2.741830E-6	-2.793980E-8
-1.436000E+2	2.742760E-6	1.024460E-8
-1.285000E+2	2.842410E-6	-1.862660E-8
-1.193000E+2	2.831240E-6	2.793980E-8
-1.049000E+2	2.955100E-6	-1.676390E-8
-9.580000E+1	2.981180E-6	-4.656640E-9
-8.820000E+1	2.996080E-6	1.955790E-8
-6.910000E+1	3.096660E-6	7.450640E-9
-6.190000E+1	3.156270E-6	9.313300E-10
-4.330000E+1	3.321110E-6	-3.818450E-8
-3.540000E+1	3.377920E-6	-6.984960E-8
-2.610000E+1	3.295030E-6	-7.171230E-8
-9.100000E+0	2.664530E-6	-2.980250E-8
-2.200000E+0	2.176520E-6	-3.259650E-8
6.600000E+0	1.520860E-6	2.048920E-8
2.420000E+1	-2.793980E-8	-2.328320E-8
3.210000E+1	-7.785890E-7	2.514580E-8
4.800000E+1	-1.994910E-6	5.681090E-8
5.640000E+1	-2.400030E-6	5.774220E-8
7.390000E+1	-2.875940E-6	4.097840E-8
8.270000E+1	-3.024020E-6	5.587960E-8
9.760000E+1	-3.083620E-6	9.313280E-9
1.058000E+2	-3.127400E-6	5.308560E-8
1.146000E+2	-3.068720E-6	1.024460E-8
1.304000E+2	-3.092010E-6	7.171230E-8
1.457000E+2	-2.997940E-6	1.862660E-9
1.549000E+2	-2.997940E-6	5.122300E-8
1.701000E+2	-2.894570E-6	1.955790E-8
1.793000E+2	-2.874080E-6	3.259650E-8
1.866000E+2	-2.780940E-6	-1.583260E-8
2.052000E+2	-2.766970E-6	3.166520E-8
2.131000E+2	-2.694330E-6	-8.381960E-9
2.296000E+2	-2.590020E-6	-4.004710E-8
2.394000E+2	-2.567670E-6	-4.470370E-8
