Sample Name, Varga_5_4_40G
Freq, 40, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 95.5 deg; output = 5 V; sens. = 10 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.443000E+2	2.137390E-7	-2.374880E-8
-6.447000E+2	1.457530E-7	5.401690E-8
-6.450000E+2	2.421460E-7	-3.213090E-8
-6.387000E+2	1.988380E-7	9.313300E-10
-6.311000E+2	2.412140E-7	-2.840550E-8
-6.226000E+2	2.291060E-7	-4.190980E-9
-5.994000E+2	1.979070E-7	2.561150E-8
-5.878000E+2	2.263120E-7	-4.656640E-9
-5.736000E+2	2.342290E-7	-1.722960E-8
-5.438000E+2	1.797460E-7	5.681090E-8
-5.283000E+2	2.551840E-7	-2.048920E-8
-5.099000E+2	2.589090E-7	-4.051280E-8
-4.788000E+2	2.873150E-7	-6.193340E-8
-4.637000E+2	2.728790E-7	-2.514580E-8
-4.377000E+2	2.291060E-7	3.725310E-8
-4.238000E+2	2.672910E-7	1.396990E-9
-4.005000E+2	2.635660E-7	2.468020E-8
-3.884000E+2	2.589090E-7	6.891830E-8
-3.678000E+2	2.565810E-7	8.055990E-8
-3.576000E+2	2.789330E-7	4.656640E-8
-3.387000E+2	3.278270E-7	-2.468020E-8
-3.268000E+2	3.012850E-7	1.257290E-8
-3.089000E+2	2.896430E-7	4.330670E-8
-2.989000E+2	4.051270E-7	-5.075730E-8
-2.801000E+2	3.385380E-7	2.607710E-8
-2.703000E+2	4.065240E-7	-2.840550E-8
-2.614000E+2	4.433110E-7	-4.237540E-8
-2.376000E+2	3.785840E-7	4.889470E-8
-2.285000E+2	4.605410E-7	-2.747410E-8
-2.042000E+2	3.874320E-7	7.683460E-8
-1.951000E+2	4.847570E-7	-1.443560E-8
-1.841000E+2	5.145590E-7	1.396990E-9
-1.620000E+2	5.015210E-7	3.725310E-8
-1.517000E+2	5.429650E-7	2.793980E-9
-1.385000E+2	4.712510E-7	8.521650E-8
-1.191000E+2	5.611250E-7	7.916300E-9
-1.061000E+2	5.145590E-7	5.867350E-8
-8.640000E+1	6.211960E-7	-3.492480E-8
-7.540000E+1	6.472730E-7	-1.862660E-8
-6.260000E+1	6.244550E-7	2.747410E-8
-4.330000E+1	6.519290E-7	6.333040E-8
-3.230000E+1	7.762610E-7	-2.840550E-8
-1.250000E+1	6.598460E-7	2.095490E-8
-2.200000E+0	5.913930E-7	2.793980E-9
1.800000E+1	1.946470E-7	5.122300E-9
2.790000E+1	7.916300E-9	-4.144410E-8
4.860000E+1	-4.507620E-7	2.048920E-8
6.100000E+1	-5.387740E-7	6.519290E-9
6.990000E+1	-5.257350E-7	-7.310930E-8
9.670000E+1	-6.519290E-7	2.188620E-8
1.059000E+2	-5.676450E-7	-6.938400E-8
1.158000E+2	-6.570520E-7	1.955790E-8
1.359000E+2	-5.532090E-7	-8.475080E-8
1.569000E+2	-6.244550E-7	2.421450E-8
1.658000E+2	-5.401710E-7	-3.632180E-8
1.785000E+2	-4.954670E-7	-5.448260E-8
1.898000E+2	-5.629880E-7	4.190970E-8
2.109000E+2	-5.336510E-7	5.029160E-8
2.221000E+2	-5.415680E-7	7.264360E-8
2.413000E+2	-4.530900E-7	-1.769520E-8
2.525000E+2	-4.940700E-7	1.676390E-8
2.718000E+2	-4.759080E-7	-8.381960E-9
2.830000E+2	-5.196820E-7	5.262000E-8
3.026000E+2	-4.796350E-7	2.747410E-8
3.132000E+2	-4.190970E-7	-1.676390E-8
3.333000E+2	-4.330670E-7	9.313280E-9
3.432000E+2	-4.526250E-7	3.771880E-8
3.637000E+2	-4.223570E-7	3.725310E-8
3.733000E+2	-3.958140E-7	2.188620E-8
3.963000E+2	-3.520420E-7	1.024460E-8
4.068000E+2	-3.622860E-7	3.026820E-8
4.159000E+2	-2.700850E-7	-6.472740E-8
4.402000E+2	-3.580950E-7	3.399350E-8
4.493000E+2	-2.663600E-7	-6.193340E-8
4.731000E+2	-3.450570E-7	4.284110E-8
4.826000E+2	-2.845210E-7	-1.396990E-8
