Sample Name, Varga_5_4_48G
Freq, 48, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 95.5 deg; output = 5 V; sens. = 5 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.960000E-5,-6.350000E+2,-2.351600E-8,1.303860E-8,2.688880E-8,1.509935E+2
7.561000E-2,-6.353000E+2,-4.633350E-8,3.282930E-8,5.678518E-8,1.446808E+2
2.754085E-1,-6.351000E+2,-4.237540E-8,2.514580E-8,4.927460E-8,1.493149E+2
4.754731E-1,-6.343000E+2,1.513410E-8,-3.422630E-8,3.742300E-8,-6.614606E+1
6.754391E-1,-6.292000E+2,2.980250E-8,-5.983790E-8,6.684881E-8,-6.352422E+1
8.756004E-1,-6.075000E+2,1.629820E-9,-8.847620E-9,8.996482E-9,-7.956256E+1
1.076435E+0,-5.970000E+2,5.867350E-8,-7.101380E-8,9.211699E-8,-5.043557E+1
1.275447E+0,-5.693000E+2,4.586790E-8,-5.844070E-8,7.429118E-8,-5.187297E+1
1.475440E+0,-5.556000E+2,4.889470E-8,-4.121130E-8,6.394578E-8,-4.012614E+1
1.675438E+0,-5.198000E+2,2.025640E-8,-6.286460E-9,2.120946E-8,-1.724144E+1
1.876401E+0,-5.050000E+2,6.146770E-8,-5.657810E-8,8.354256E-8,-4.262810E+1
2.075411E+0,-4.882000E+2,-2.770700E-8,3.026820E-8,4.103464E-8,1.324705E+2
2.275410E+0,-4.555000E+2,4.866180E-8,-5.005880E-8,6.981299E-8,-4.581074E+1
2.475413E+0,-4.401000E+2,-3.119950E-8,2.793980E-8,4.188128E-8,1.381549E+2
2.676402E+0,-4.137000E+2,-3.329500E-8,3.539050E-8,4.859058E-8,1.332525E+2
2.875513E+0,-3.976000E+2,1.164160E-8,-4.656640E-9,1.253839E-8,-2.180141E+1
3.076435E+0,-3.848000E+2,-1.955790E-8,4.027990E-8,4.477702E-8,1.158989E+2
3.275514E+0,-3.630000E+2,-1.769520E-8,4.563500E-8,4.894562E-8,1.111941E+2
3.475411E+0,-3.522000E+2,3.352780E-8,-3.026810E-9,3.366415E-8,-5.158543E+0
3.675458E+0,-3.328000E+2,2.072200E-8,1.420270E-8,2.512206E-8,3.442644E+1
3.875409E+0,-3.238000E+2,7.846440E-8,-4.796330E-8,9.196271E-8,-3.143639E+1
4.075516E+0,-3.052000E+2,-2.328320E-10,4.586790E-8,4.586849E-8,9.029084E+1
4.275463E+0,-2.968000E+2,5.378410E-8,-4.889470E-9,5.400589E-8,-5.194436E+0
4.475409E+0,-2.755000E+2,1.769520E-8,2.165340E-8,2.796408E-8,5.074424E+1
4.675408E+0,-2.658000E+2,-2.677560E-8,4.796330E-8,5.493096E-8,1.191725E+2
4.875410E+0,-2.543000E+2,4.260820E-8,-4.004710E-8,5.847417E-8,-4.322524E+1
5.076402E+0,-2.334000E+2,3.376070E-8,-4.214260E-8,5.399800E-8,-5.130157E+1
5.275440E+0,-2.212000E+2,-1.164160E-8,7.450640E-9,1.382168E-8,1.473807E+2
5.475439E+0,-2.090000E+2,5.774220E-8,-6.635720E-8,8.796272E-8,-4.897111E+1
5.675441E+0,-1.875000E+2,6.263190E-8,-5.145580E-8,8.105834E-8,-3.940512E+1
5.876435E+0,-1.783000E+2,-2.584430E-8,3.259650E-8,4.159879E-8,1.284093E+2
6.076441E+0,-1.539000E+2,-1.862660E-9,3.329500E-8,3.334706E-8,9.320203E+1
6.276443E+0,-1.448000E+2,7.986140E-8,-6.356320E-8,1.020692E-7,-3.851695E+1
6.475446E+0,-1.335000E+2,3.958140E-8,-3.096670E-8,5.025558E-8,-3.803802E+1
6.675412E+0,-1.119000E+2,4.423800E-8,-5.448260E-8,7.018087E-8,-5.092459E+1
6.876410E+0,-1.014000E+2,-2.933680E-8,2.910390E-8,4.132414E-8,1.352283E+2
7.076408E+0,-8.190000E+1,5.238710E-8,-5.820790E-8,7.831071E-8,-4.801279E+1
7.275410E+0,-7.090000E+1,1.280570E-8,8.847620E-9,1.556491E-8,3.464109E+1
7.476434E+0,-5.180000E+1,4.656650E-10,4.330670E-8,4.330920E-8,8.938394E+1
7.675446E+0,-4.070000E+1,3.282930E-8,1.979070E-8,3.833321E-8,3.108311E+1
7.875409E+0,-2.160000E+1,8.544930E-8,-4.260820E-8,9.548320E-8,-2.650255E+1
8.075462E+0,-1.030000E+1,7.543760E-8,-4.610070E-8,8.840874E-8,-3.142954E+1
8.275407E+0,2.000000E+0,4.447090E-8,-3.236370E-8,5.500064E-8,-3.604526E+1
8.476474E+0,2.220000E+1,-2.118770E-8,1.094310E-8,2.384680E-8,1.526844E+2
8.675504E+0,3.200000E+1,-3.469200E-8,3.282930E-8,4.776293E-8,1.365802E+2
8.876405E+0,5.470000E+1,-1.071030E-8,2.328320E-9,1.096046E-8,1.677353E+2
9.075464E+0,6.540000E+1,-6.309760E-8,2.421450E-8,6.758439E-8,1.590051E+2
9.275421E+0,8.550000E+1,-1.653110E-8,-5.215430E-8,5.471150E-8,-1.075868E+2
9.475410E+0,9.830000E+1,-9.127010E-8,3.445920E-8,9.755853E-8,1.593159E+2
9.675414E+0,1.074000E+2,-4.889470E-9,-3.329500E-8,3.365210E-8,-9.835434E+1
9.876437E+0,1.285000E+2,-3.166520E-8,-1.001180E-8,3.321025E-8,-1.624543E+2
1.007539E+1,1.374000E+2,-4.423810E-9,-4.516940E-8,4.538551E-8,-9.559361E+1
1.027544E+1,1.584000E+2,-8.381960E-9,-3.213090E-8,3.320620E-8,-1.046209E+2
1.047544E+1,1.674000E+2,-9.988480E-8,6.961680E-8,1.217517E-7,1.451246E+2
1.067644E+1,1.912000E+2,-8.079270E-8,3.492480E-8,8.801819E-8,1.566223E+2
1.087545E+1,2.002000E+2,1.164160E-9,-4.959320E-8,4.960686E-8,-8.865528E+1
1.107541E+1,2.125000E+2,-5.820790E-8,2.444730E-8,6.313343E-8,1.572176E+2
1.127541E+1,2.333000E+2,-2.118770E-8,2.165340E-8,3.029502E-8,1.343772E+2
1.147546E+1,2.457000E+2,2.537870E-8,-1.606540E-8,3.003624E-8,-3.233491E+1
1.167540E+1,2.569000E+2,-7.101380E-8,6.449450E-8,9.592966E-8,1.377544E+2
1.187541E+1,2.783000E+2,-1.396990E-9,-8.149130E-9,8.268005E-9,-9.972755E+1
1.207541E+1,2.895000E+2,-4.656640E-8,5.587960E-8,7.273898E-8,1.298056E+2
1.227541E+1,2.995000E+2,-6.961680E-8,7.008250E-8,9.878287E-8,1.348090E+2
1.247644E+1,3.216000E+2,-4.936030E-8,3.981430E-8,6.341623E-8,1.411102E+2
1.267644E+1,3.327000E+2,-5.913920E-8,3.445920E-8,6.844619E-8,1.497715E+2
1.287544E+1,3.546000E+2,1.117590E-8,-4.214260E-8,4.359931E-8,-7.514747E+1
1.307544E+1,3.660000E+2,-6.705570E-8,3.934860E-8,7.774818E-8,1.495954E+2
1.327549E+1,3.754000E+2,-9.313280E-9,-2.072200E-8,2.271868E-8,-1.142010E+2
1.347643E+1,3.990000E+2,-7.217800E-8,2.956960E-8,7.800016E-8,1.577223E+2
1.367551E+1,4.091000E+2,-3.282930E-8,-6.053630E-9,3.338277E-8,-1.695522E+2
1.387545E+1,4.297000E+2,-3.306220E-8,-2.817260E-8,4.343736E-8,-1.395654E+2
1.407644E+1,4.393000E+2,-5.727660E-8,-4.423810E-9,5.744718E-8,-1.755835E+2
1.427644E+1,4.604000E+2,2.095490E-9,-4.586790E-8,4.591574E-8,-8.738424E+1
1.447541E+1,4.695000E+2,3.981430E-8,-7.636890E-8,8.612426E-8,-6.246509E+1
1.467541E+1,4.908000E+2,-3.771880E-8,4.190970E-8,5.638378E-8,1.319873E+2
1.487541E+1,4.998000E+2,-7.916300E-9,-6.984950E-10,7.947056E-9,-1.749576E+2
1.507542E+1,5.211000E+2,-9.546110E-9,-5.587960E-9,1.106135E-8,-1.496568E+2
1.527541E+1,5.301000E+2,-6.705570E-8,3.539050E-8,7.582186E-8,1.521759E+2
1.547540E+1,5.512000E+2,7.450640E-9,-5.215430E-8,5.268380E-8,-8.186987E+1
1.567541E+1,5.607000E+2,-1.466840E-8,-2.188620E-8,2.634706E-8,-1.238305E+2
1.587544E+1,5.812000E+2,-8.335380E-8,4.190970E-8,9.329673E-8,1.533071E+2
1.587544E+1,5.812000E+2,-8.335380E-8,4.190970E-8,3.530844E-8,-1.056859E+2
1.627643E+1,6.046000E+2,-7.171230E-8,3.376070E-8,7.926184E-8,1.547899E+2
1.647544E+1,6.269000E+2,-8.568210E-8,3.678750E-8,9.324560E-8,1.567638E+2
1.647544E+1,6.269000E+2,-8.568210E-8,3.678750E-8,2.547569E-8,-1.207842E+2
1.687544E+1,6.512000E+2,-8.754480E-8,5.029160E-8,1.009621E-7,1.501241E+2
1.707544E+1,6.712000E+2,-8.707910E-8,5.075730E-8,1.007922E-7,1.497626E+2
1.727544E+1,6.819000E+2,4.656640E-9,-4.074560E-8,4.101083E-8,-8.348020E+1
1.747544E+1,7.026000E+2,-8.777760E-8,3.958140E-8,9.628912E-8,1.557280E+2
1.767544E+1,7.129000E+2,-3.655460E-8,8.149130E-9,3.745193E-8,1.674325E+2
1.787541E+1,7.340000E+2,3.492480E-8,-4.586790E-8,5.765072E-8,-5.271358E+1
1.807643E+1,7.469000E+2,-3.236370E-8,2.305030E-8,3.973318E-8,1.445405E+2
1.827640E+1,7.672000E+2,-4.353960E-8,2.840550E-8,5.198624E-8,1.468793E+2
1.847552E+1,7.776000E+2,4.610070E-8,-5.983790E-8,7.553707E-8,-5.238839E+1
1.867541E+1,7.870000E+2,-2.887110E-8,7.450640E-9,2.981698E-8,1.655296E+2
1.887541E+1,8.114000E+2,-1.373710E-8,-9.313300E-10,1.376863E-8,-1.761215E+2
1.907541E+1,8.205000E+2,5.448260E-8,-6.752130E-8,8.676105E-8,-5.110011E+1
1.927644E+1,8.421000E+2,-1.955790E-8,1.047740E-8,2.218755E-8,1.518215E+2
1.947544E+1,8.513000E+2,5.681090E-8,-7.427340E-8,9.350945E-8,-5.258803E+1
1.967544E+1,8.730000E+2,8.149130E-9,-6.752120E-9,1.058298E-8,-3.964411E+1
1.987644E+1,8.856000E+2,5.424980E-8,-5.052450E-8,7.413343E-8,-4.296368E+1
2.007556E+1,8.972000E+2,-1.187440E-8,3.608900E-8,3.799233E-8,1.082128E+2
2.027544E+1,9.169000E+2,-1.350420E-8,2.677560E-8,2.998827E-8,1.167640E+2
2.047544E+1,9.379000E+2,3.958150E-9,1.722960E-8,1.767841E-8,7.706195E+1
2.067551E+1,9.484000E+2,-3.795160E-8,4.516940E-8,5.899660E-8,1.300372E+2
2.087549E+1,9.597000E+2,5.099010E-8,-6.426170E-8,8.203387E-8,-5.156885E+1
2.107544E+1,9.819000E+2,6.542590E-8,-6.053640E-8,8.913587E-8,-4.277706E+1
2.127551E+1,9.935000E+2,-4.121130E-8,3.934860E-8,5.697968E-8,1.363246E+2
2.147641E+1,1.006400E+3,-2.118770E-8,0.000000E+0,2.118770E-8,1.800000E+2
2.167544E+1,1.027100E+3,-6.868550E-8,1.350420E-8,7.000044E-8,1.688770E+2
2.187541E+1,1.040600E+3,-9.150290E-8,2.677560E-8,9.533999E-8,1.636895E+2
2.207541E+1,1.060700E+3,-2.351600E-8,-2.700850E-8,3.581147E-8,-1.310457E+2
2.227641E+1,1.072000E+3,-6.076930E-8,4.144410E-8,7.355625E-8,1.457064E+2
2.247541E+1,1.081400E+3,8.847620E-9,-1.862660E-9,9.041564E-9,-1.188868E+1
2.267551E+1,1.105900E+3,4.982600E-8,-2.980250E-8,5.805876E-8,-3.088497E+1
2.287549E+1,1.115700E+3,1.606540E-8,3.492470E-9,1.644063E-8,1.226475E+1
2.307651E+1,1.128200E+3,5.844070E-8,-2.747410E-8,6.457663E-8,-2.517912E+1
2.327543E+1,1.153100E+3,-3.469200E-8,6.798700E-8,7.632671E-8,1.170340E+2
2.347647E+1,1.162400E+3,4.656640E-8,-2.095490E-8,5.106405E-8,-2.422777E+1
2.367541E+1,1.187000E+3,-6.752130E-8,6.216620E-8,9.178106E-8,1.373645E+2
2.387541E+1,1.196100E+3,3.259640E-9,-1.769520E-8,1.799293E-8,-7.956253E+1
2.407540E+1,1.206900E+3,2.165340E-8,-2.491300E-8,3.300799E-8,-4.900412E+1
2.427540E+1,1.230100E+3,-3.306220E-8,3.166520E-8,4.577984E-8,1.362364E+2
2.447541E+1,1.239800E+3,-7.636890E-8,6.496020E-8,1.002598E-7,1.396152E+2
2.467639E+1,1.263800E+3,-3.608900E-8,-2.328320E-10,3.608975E-8,-1.796304E+2
2.487641E+1,1.273100E+3,2.328320E-9,-5.401690E-8,5.406706E-8,-8.753188E+1
2.507541E+1,1.284300E+3,-6.519290E-9,-3.469200E-8,3.529924E-8,-1.006429E+2
2.527643E+1,1.303900E+3,-2.374880E-8,8.149130E-9,2.510804E-8,1.610609E+2
2.547643E+1,1.315300E+3,3.329500E-8,-4.936030E-8,5.953987E-8,-5.599916E+1
2.567541E+1,1.330800E+3,-5.820790E-8,3.562330E-8,6.824353E-8,1.485333E+2
2.587544E+1,1.350900E+3,-1.164160E-9,-1.536690E-8,1.541093E-8,-9.433232E+1
2.607644E+1,1.364100E+3,-4.749770E-8,2.165340E-8,5.220059E-8,1.554926E+2
2.627544E+1,1.383500E+3,-2.025640E-8,-3.539050E-8,4.077756E-8,-1.197855E+2
2.647550E+1,1.396700E+3,-4.842900E-8,1.047740E-8,4.954941E-8,1.677925E+2
2.667544E+1,1.406900E+3,3.655460E-8,-5.285280E-8,6.426241E-8,-5.533109E+1
2.687641E+1,1.429000E+3,1.210730E-8,-1.722960E-8,2.105815E-8,-5.490415E+1
2.707546E+1,1.440000E+3,-2.072200E-8,5.122300E-9,2.134571E-8,1.661153E+2
2.727644E+1,1.459600E+3,-4.470370E-8,1.909220E-8,4.861001E-8,1.568735E+2
2.747644E+1,1.470000E+3,9.313280E-9,-3.515770E-8,3.637033E-8,-7.516312E+1
