Sample Name, Varga_5_4_48G
Freq, 48, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 95.5 deg; output = 5 V; sens. = 5 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.350000E+2	-2.351600E-8	1.303860E-8
-6.353000E+2	-4.633350E-8	3.282930E-8
-6.351000E+2	-4.237540E-8	2.514580E-8
-6.343000E+2	1.513410E-8	-3.422630E-8
-6.292000E+2	2.980250E-8	-5.983790E-8
-6.075000E+2	1.629820E-9	-8.847620E-9
-5.970000E+2	5.867350E-8	-7.101380E-8
-5.693000E+2	4.586790E-8	-5.844070E-8
-5.556000E+2	4.889470E-8	-4.121130E-8
-5.198000E+2	2.025640E-8	-6.286460E-9
-5.050000E+2	6.146770E-8	-5.657810E-8
-4.882000E+2	-2.770700E-8	3.026820E-8
-4.555000E+2	4.866180E-8	-5.005880E-8
-4.401000E+2	-3.119950E-8	2.793980E-8
-4.137000E+2	-3.329500E-8	3.539050E-8
-3.976000E+2	1.164160E-8	-4.656640E-9
-3.848000E+2	-1.955790E-8	4.027990E-8
-3.630000E+2	-1.769520E-8	4.563500E-8
-3.522000E+2	3.352780E-8	-3.026810E-9
-3.328000E+2	2.072200E-8	1.420270E-8
-3.238000E+2	7.846440E-8	-4.796330E-8
-3.052000E+2	-2.328320E-10	4.586790E-8
-2.968000E+2	5.378410E-8	-4.889470E-9
-2.755000E+2	1.769520E-8	2.165340E-8
-2.658000E+2	-2.677560E-8	4.796330E-8
-2.543000E+2	4.260820E-8	-4.004710E-8
-2.334000E+2	3.376070E-8	-4.214260E-8
-2.212000E+2	-1.164160E-8	7.450640E-9
-2.090000E+2	5.774220E-8	-6.635720E-8
-1.875000E+2	6.263190E-8	-5.145580E-8
-1.783000E+2	-2.584430E-8	3.259650E-8
-1.539000E+2	-1.862660E-9	3.329500E-8
-1.448000E+2	7.986140E-8	-6.356320E-8
-1.335000E+2	3.958140E-8	-3.096670E-8
-1.119000E+2	4.423800E-8	-5.448260E-8
-1.014000E+2	-2.933680E-8	2.910390E-8
-8.190000E+1	5.238710E-8	-5.820790E-8
-7.090000E+1	1.280570E-8	8.847620E-9
-5.180000E+1	4.656650E-10	4.330670E-8
-4.070000E+1	3.282930E-8	1.979070E-8
-2.160000E+1	8.544930E-8	-4.260820E-8
-1.030000E+1	7.543760E-8	-4.610070E-8
2.000000E+0	4.447090E-8	-3.236370E-8
2.220000E+1	-2.118770E-8	1.094310E-8
3.200000E+1	-3.469200E-8	3.282930E-8
5.470000E+1	-1.071030E-8	2.328320E-9
6.540000E+1	-6.309760E-8	2.421450E-8
8.550000E+1	-1.653110E-8	-5.215430E-8
9.830000E+1	-9.127010E-8	3.445920E-8
1.074000E+2	-4.889470E-9	-3.329500E-8
1.285000E+2	-3.166520E-8	-1.001180E-8
1.374000E+2	-4.423810E-9	-4.516940E-8
1.584000E+2	-8.381960E-9	-3.213090E-8
1.674000E+2	-9.988480E-8	6.961680E-8
1.912000E+2	-8.079270E-8	3.492480E-8
2.002000E+2	1.164160E-9	-4.959320E-8
2.125000E+2	-5.820790E-8	2.444730E-8
2.333000E+2	-2.118770E-8	2.165340E-8
2.457000E+2	2.537870E-8	-1.606540E-8
2.569000E+2	-7.101380E-8	6.449450E-8
2.783000E+2	-1.396990E-9	-8.149130E-9
2.895000E+2	-4.656640E-8	5.587960E-8
2.995000E+2	-6.961680E-8	7.008250E-8
3.216000E+2	-4.936030E-8	3.981430E-8
3.327000E+2	-5.913920E-8	3.445920E-8
3.546000E+2	1.117590E-8	-4.214260E-8
3.660000E+2	-6.705570E-8	3.934860E-8
3.754000E+2	-9.313280E-9	-2.072200E-8
3.990000E+2	-7.217800E-8	2.956960E-8
4.091000E+2	-3.282930E-8	-6.053630E-9
4.297000E+2	-3.306220E-8	-2.817260E-8
4.393000E+2	-5.727660E-8	-4.423810E-9
4.604000E+2	2.095490E-9	-4.586790E-8
4.695000E+2	3.981430E-8	-7.636890E-8
4.908000E+2	-3.771880E-8	4.190970E-8
