Sample Name, Varga_5_4_9.46G
Freq, 9.46, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 97 deg; output = 5 V; sens. = 5 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-7.002000E+2	-1.020970E-6	4.656640E-8
-6.992000E+2	-1.024460E-6	4.144410E-8
-7.004000E+2	-9.378450E-7	-4.842900E-8
-6.929000E+2	-9.799910E-7	2.118770E-8
-6.849000E+2	-1.005840E-6	4.447090E-8
-6.645000E+2	-9.641590E-7	-1.653110E-8
-6.557000E+2	-1.014220E-6	3.865010E-8
-6.448000E+2	-9.213140E-7	-5.983790E-8
-6.246000E+2	-1.015150E-6	6.007080E-8
-6.146000E+2	-9.322580E-7	-1.885940E-8
-5.984000E+2	-9.865110E-7	6.193340E-8
-5.895000E+2	-8.705570E-7	-4.004710E-8
-5.759000E+2	-9.411050E-7	4.121130E-8
-5.701000E+2	-8.589160E-7	-2.142050E-8
-5.644000E+2	-8.046660E-7	-5.937200E-8
-5.619000E+2	-8.731190E-7	1.443560E-8
-5.565000E+2	-7.613600E-7	-4.726480E-8
-5.564000E+2	-8.139800E-7	6.984950E-9
-5.542000E+2	-7.965170E-7	-3.469200E-8
-5.540000E+2	-8.521640E-7	1.187440E-8
-5.529000E+2	-7.988460E-7	-5.145580E-8
-5.533000E+2	-8.454120E-7	6.984950E-10
-5.511000E+2	-7.716040E-7	-7.520480E-8
-5.513000E+2	-8.530950E-7	1.071030E-8
-5.477000E+2	-8.521640E-7	4.726480E-8
-5.473000E+2	-8.111860E-7	1.187440E-8
-5.424000E+2	-8.023380E-7	-2.561150E-8
-5.411000E+2	-8.614770E-7	5.215430E-8
-5.376000E+2	-7.629900E-7	-3.539050E-8
-5.334000E+2	-8.498350E-7	5.145580E-8
-5.303000E+2	-8.184030E-7	2.840550E-8
-5.254000E+2	-8.186360E-7	4.260820E-8
-5.233000E+2	-7.608940E-7	-1.885940E-8
-5.199000E+2	-7.394740E-7	-6.589150E-8
-5.166000E+2	-8.444800E-7	3.282930E-8
-5.134000E+2	-7.655510E-7	-4.214260E-8
-5.107000E+2	-7.795210E-7	-3.166520E-8
-5.077000E+2	-7.092060E-7	-1.001180E-7
-5.048000E+2	-6.847590E-7	-9.941910E-8
-5.021000E+2	-7.865060E-7	3.026810E-9
-4.990000E+2	-7.066450E-7	-6.589150E-8
-4.969000E+2	-6.877850E-7	-7.916290E-8
-4.928000E+2	-7.858070E-7	1.722960E-8
-4.902000E+2	-7.143280E-7	-4.773050E-8
-4.892000E+2	-7.771920E-7	2.281750E-8
-4.841000E+2	-7.618260E-7	4.330670E-8
-4.833000E+2	-7.699750E-7	6.565870E-8
-4.785000E+2	-7.695090E-7	4.540220E-8
-4.773000E+2	-6.626400E-7	-6.449450E-8
-4.728000E+2	-7.429660E-7	1.396990E-8
-4.712000E+2	-7.406380E-7	2.421450E-8
-4.659000E+2	-7.096710E-7	3.026810E-9
-4.648000E+2	-6.826630E-7	-4.656650E-10
-4.618000E+2	-7.320230E-7	4.330670E-8
-4.587000E+2	-6.821970E-7	-1.280570E-8
-4.542000E+2	-6.968660E-7	5.587960E-9
-4.522000E+2	-6.300430E-7	-7.287640E-8
-4.493000E+2	-7.373780E-7	2.561150E-8
-4.462000E+2	-7.394740E-7	2.724130E-8
-4.432000E+2	-7.280650E-7	1.769520E-8
-4.409000E+2	-7.213130E-7	2.211900E-8
-4.375000E+2	-6.498340E-7	-1.466840E-8
-4.353000E+2	-7.031520E-7	4.866180E-8
-4.316000E+2	-6.035010E-7	-4.656640E-8
-4.285000E+2	-6.416850E-7	3.492470E-9
-4.276000E+2	-6.451770E-7	1.746240E-8
-4.217000E+2	-5.830120E-7	-3.282930E-8
-4.210000E+2	-6.400550E-7	3.865010E-8
-4.158000E+2	-5.292280E-7	-5.727660E-8
-4.147000E+2	-5.781220E-7	-1.629830E-8
-4.095000E+2	-6.002410E-7	1.094310E-8
-4.087000E+2	-6.374940E-7	5.052450E-8
