Sample Name, Varga_5_4_9.46G
Freq, 9.46, GHz, Power, 10, dBm
SR850: f = 25 Hz; phase = 96 deg; output = 5 V; sens. = 100 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-7.132000E+2	-1.002110E-6	-2.235190E-8
-7.132000E+2	-1.002110E-6	-2.235190E-8
-7.136000E+2	-9.536820E-7	-1.154840E-7
-7.118000E+2	-1.028190E-6	-4.842900E-8
-7.081000E+2	-1.102690E-6	2.607710E-8
-6.905000E+2	-9.797590E-7	-8.940740E-8
-6.813000E+2	-1.065440E-6	7.450640E-9
-6.576000E+2	-9.723080E-7	-5.215430E-8
-6.576000E+2	-9.723080E-7	-5.215430E-8
-6.174000E+2	-8.866230E-7	-7.078100E-8
-6.045000E+2	-9.946600E-7	4.470370E-8
-5.748000E+2	-9.574070E-7	5.215430E-8
-5.615000E+2	-8.568200E-7	-5.587960E-8
-5.329000E+2	-9.313260E-7	3.352780E-8
-5.200000E+2	-8.046660E-7	-6.705570E-8
-4.904000E+2	-7.785890E-7	-3.725310E-8
-4.795000E+2	-8.456450E-7	5.587960E-8
-4.556000E+2	-7.636880E-7	7.450640E-9
-4.457000E+2	-7.823150E-7	2.980250E-8
-4.342000E+2	-6.258520E-7	-9.685800E-8
-4.158000E+2	-6.035010E-7	-1.005830E-7
-4.054000E+2	-7.003580E-7	3.725320E-9
-3.882000E+2	-6.370280E-7	-3.725310E-8
-3.783000E+2	-5.550720E-7	-1.005830E-7
-3.586000E+2	-5.886000E-7	-1.490130E-8
-3.481000E+2	-4.768410E-7	-8.568210E-8
-3.293000E+2	-4.693880E-7	-6.705570E-8
-3.183000E+2	-4.246850E-7	-1.005830E-7
-2.985000E+2	-4.656630E-7	-1.862660E-8
-2.875000E+2	-5.066430E-7	5.587960E-8
-2.751000E+2	-4.842910E-7	5.215430E-8
-2.535000E+2	-3.539040E-7	-5.587960E-8
-2.441000E+2	-4.544870E-7	3.725310E-8
-2.226000E+2	-3.241020E-7	-7.078100E-8
-2.103000E+2	-3.948830E-7	0.000000E+0
-1.999000E+2	-3.092010E-7	-6.705570E-8
-1.774000E+2	-3.464540E-7	2.980250E-8
-1.678000E+2	-3.390030E-7	2.607710E-8
-1.478000E+2	-2.943000E-7	1.862660E-8
-1.376000E+2	-1.750900E-7	-8.568210E-8
-1.181000E+2	-1.043090E-7	-1.005830E-7
-1.057000E+2	-2.160680E-7	1.490130E-8
-9.460000E+1	-6.705570E-8	-8.940740E-8
-7.540000E+1	-2.980250E-8	-1.005830E-7
-6.430000E+1	-9.685800E-8	-3.725310E-8
-4.310000E+1	-3.352780E-8	-3.352780E-8
-3.180000E+1	1.192100E-7	-1.490130E-7
-2.210000E+1	9.313270E-8	-8.195680E-8
9.000000E-1	1.601880E-7	-1.303860E-7
1.130000E+1	1.043090E-7	-8.940740E-8
3.170000E+1	-9.313270E-8	1.862660E-8
4.150000E+1	-9.685800E-8	0.000000E+0
6.210000E+1	-3.352780E-8	-2.980250E-8
7.120000E+1	-8.940740E-8	3.352780E-8
9.230000E+1	0.000000E+0	6.333040E-8
1.041000E+2	9.685800E-8	-4.842900E-8
1.163000E+2	0.000000E+0	5.587960E-8
1.373000E+2	1.192100E-7	-3.725310E-8
1.468000E+2	1.266610E-7	-2.980250E-8
1.707000E+2	1.378370E-7	-7.450640E-9
1.797000E+2	7.823160E-8	8.195680E-8
1.908000E+2	1.266610E-7	6.333040E-8
2.129000E+2	1.341110E-7	9.685800E-8
2.233000E+2	2.980250E-7	-5.215430E-8
2.429000E+2	1.750900E-7	8.940740E-8
2.536000E+2	2.384200E-7	4.097840E-8
2.665000E+2	3.613550E-7	-6.705570E-8
2.886000E+2	3.017500E-7	2.607710E-8
2.989000E+2	4.172340E-7	-7.078100E-8
3.183000E+2	4.507620E-7	-6.705570E-8
3.296000E+2	3.874320E-7	2.607710E-8
3.493000E+2	4.395860E-7	2.980250E-8
3.608000E+2	5.401710E-7	-5.587960E-8
3.732000E+2	4.358610E-7	5.960510E-8
