Sample Name, Varga_5_4_35.65G
Freq displayed, 3.568, GHz, Power, 10, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 200 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.471000E+2	1.832850E-6	2.235190E-8
-6.479000E+2	1.944620E-6	-1.266610E-7
-6.473000E+2	1.817950E-6	-5.960510E-8
-6.406000E+2	9.164250E-7	8.195680E-7
-6.325000E+2	2.011670E-7	9.089740E-7
-6.205000E+2	9.685800E-8	1.184650E-6
-5.911000E+2	5.662480E-7	6.333030E-7
-5.783000E+2	9.685830E-7	5.289950E-7
-5.630000E+2	1.348560E-6	4.097840E-7
-5.337000E+2	1.452870E-6	-2.533220E-7
-5.141000E+2	9.834840E-7	2.905740E-7
-4.839000E+2	7.152590E-7	2.831240E-7
-4.690000E+2	9.611320E-7	-4.470370E-7
-4.415000E+2	1.467770E-6	-1.780700E-6
-4.275000E+2	1.646590E-6	-1.817950E-6
-4.036000E+2	2.078730E-6	-1.512480E-6
-3.911000E+2	2.168130E-6	-1.132500E-6
-3.806000E+2	2.637520E-6	-2.086170E-7
-3.584000E+2	2.987700E-6	-4.544870E-7
-3.488000E+2	3.419830E-6	-8.642710E-7
-3.308000E+2	3.516690E-6	-4.768410E-7
-3.221000E+2	3.680600E-6	-1.564630E-7
-3.035000E+2	4.179800E-6	-5.513470E-7
-2.948000E+2	3.919030E-6	-1.154850E-6
-2.744000E+2	2.339500E-6	-2.339500E-6
-2.655000E+2	2.041470E-6	-2.548110E-6
-2.419000E+2	2.890840E-6	-1.005840E-6
-2.321000E+2	3.099460E-6	-2.235190E-8
-2.107000E+2	4.217060E-6	-7.674130E-7
-1.980000E+2	4.813100E-6	-1.013290E-6
-1.888000E+2	4.902510E-6	-6.482040E-7
-1.675000E+2	4.932310E-6	-8.270180E-7
-1.580000E+2	5.036620E-6	-1.035640E-6
-1.343000E+2	6.966320E-6	-2.011670E-6
-1.254000E+2	7.420810E-6	-2.078730E-6
-1.145000E+2	8.732140E-6	-1.981870E-6
-9.280000E+1	8.687440E-6	-1.490130E-7
-8.270000E+1	7.994530E-6	3.799810E-7
-6.280000E+1	7.852970E-6	-1.862650E-7
-4.940000E+1	7.443160E-6	-7.376110E-7
-3.640000E+1	6.750260E-6	-6.780060E-7
-1.710000E+1	4.835460E-6	-6.109510E-7
-6.000000E+0	4.097850E-6	-3.203770E-7
1.340000E+1	1.356010E-6	-3.203770E-7
2.430000E+1	3.501790E-7	-1.266610E-7
4.410000E+1	-2.093630E-6	1.147400E-6
5.460000E+1	-3.106910E-6	2.332050E-6
7.460000E+1	-4.932310E-6	2.630070E-6
7.460000E+1	-4.932310E-6	2.630070E-6
9.640000E+1	-4.947210E-6	1.356010E-6
1.176000E+2	-5.424050E-6	5.811490E-7
1.296000E+2	-5.953040E-6	3.501790E-7
1.391000E+2	-6.526740E-6	1.013290E-6
1.625000E+2	-7.621970E-6	2.026570E-6
1.714000E+2	-6.951420E-6	2.086180E-6
1.955000E+2	-6.355370E-6	1.303860E-6
2.046000E+2	-4.977020E-6	1.370910E-6
2.150000E+2	-3.956290E-6	1.207000E-6
2.376000E+2	-4.187260E-6	6.035010E-7
2.473000E+2	-4.440580E-6	3.576300E-7
2.708000E+2	-5.081330E-6	4.395860E-7
2.799000E+2	-6.020100E-6	6.407540E-7
3.008000E+2	-5.811480E-6	1.296410E-6
3.101000E+2	-5.237790E-6	1.370910E-6
3.212000E+2	-4.269210E-6	1.341110E-6
3.406000E+2	-3.144160E-6	8.121170E-7
3.518000E+2	-2.510860E-6	6.333030E-7
3.742000E+2	-2.153230E-6	5.960510E-8
3.742000E+2	-2.153230E-6	5.960510E-8
3.946000E+2	-1.624230E-6	2.309690E-7
4.189000E+2	-2.220290E-6	6.780060E-7
4.284000E+2	-2.220290E-6	9.685830E-7
4.518000E+2	-2.667320E-6	6.333030E-7
4.621000E+2	-3.166510E-6	9.536820E-7
