Sample Name, Varga_5_4_35.65G
Freq displayed, 3.568, GHz, Power, 15, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.320000E-5,-6.743000E+2,7.271800E-6,-7.450620E-7,7.309870E-6,-5.850059E+0
4.000700E-2,-6.743000E+2,7.271800E-6,-7.450620E-7,7.309870E-6,-5.850059E+0
2.389596E-1,-6.742000E+2,7.420810E-6,-6.258520E-7,7.447155E-6,-4.820770E+0
4.389629E-1,-6.738000E+2,8.523520E-6,-2.026570E-6,8.761129E-6,-1.337443E+1
6.389765E-1,-6.676000E+2,8.970560E-6,-2.384200E-6,9.281991E-6,-1.488400E+1
8.399657E-1,-6.499000E+2,1.010300E-5,-6.556550E-7,1.012425E-5,-3.713121E+0
1.039968E+0,-6.377000E+2,9.685810E-6,8.940740E-8,9.686223E-6,5.288687E-1
1.239967E+0,-6.249000E+2,9.149370E-6,2.384200E-7,9.152476E-6,1.492711E+0
1.438962E+0,-5.939000E+2,8.404310E-6,1.698740E-6,8.574272E-6,1.142708E+1
1.638967E+0,-5.780000E+2,8.761940E-6,2.026570E-6,8.993252E-6,1.302307E+1
1.838963E+0,-5.432000E+2,1.010300E-5,3.576300E-7,1.010933E-5,2.027332E+0
2.038961E+0,-5.271000E+2,1.099710E-5,2.384200E-7,1.099968E-5,1.241993E+0
2.238963E+0,-5.089000E+2,1.218920E-5,2.086170E-7,1.219099E-5,9.805161E-1
2.438986E+0,-4.790000E+2,1.341110E-5,1.281510E-6,1.347219E-5,5.458378E+0
2.638963E+0,-4.622000E+2,1.436480E-5,1.877550E-6,1.448698E-5,7.446626E+0
2.839963E+0,-4.365000E+2,1.651060E-5,1.728540E-6,1.660084E-5,5.976680E+0
3.038961E+0,-4.246000E+2,1.683840E-5,8.046660E-7,1.685762E-5,2.735944E+0
3.238967E+0,-4.018000E+2,1.722590E-5,-7.152590E-7,1.724074E-5,-2.377687E+0
3.438936E+0,-3.922000E+2,1.758350E-5,-6.258520E-7,1.759463E-5,-2.038476E+0
3.639967E+0,-3.826000E+2,1.838810E-5,-1.430520E-6,1.844366E-5,-4.448421E+0
3.838970E+0,-3.612000E+2,1.844780E-5,-2.384200E-6,1.860123E-5,-7.364106E+0
4.038968E+0,-3.532000E+2,1.859680E-5,-2.056370E-6,1.871015E-5,-6.309936E+0
