Sample Name, Varga_5_4_35.65G
Freq displayed, 3.568, GHz, Power, 15, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.743000E+2	7.271800E-6	-7.450620E-7
-6.743000E+2	7.271800E-6	-7.450620E-7
-6.742000E+2	7.420810E-6	-6.258520E-7
-6.738000E+2	8.523520E-6	-2.026570E-6
-6.676000E+2	8.970560E-6	-2.384200E-6
-6.499000E+2	1.010300E-5	-6.556550E-7
-6.377000E+2	9.685810E-6	8.940740E-8
-6.249000E+2	9.149370E-6	2.384200E-7
-5.939000E+2	8.404310E-6	1.698740E-6
-5.780000E+2	8.761940E-6	2.026570E-6
-5.432000E+2	1.010300E-5	3.576300E-7
-5.271000E+2	1.099710E-5	2.384200E-7
-5.089000E+2	1.218920E-5	2.086170E-7
-4.790000E+2	1.341110E-5	1.281510E-6
-4.622000E+2	1.436480E-5	1.877550E-6
-4.365000E+2	1.651060E-5	1.728540E-6
-4.246000E+2	1.683840E-5	8.046660E-7
-4.018000E+2	1.722590E-5	-7.152590E-7
-3.922000E+2	1.758350E-5	-6.258520E-7
-3.826000E+2	1.838810E-5	-1.430520E-6
-3.612000E+2	1.844780E-5	-2.384200E-6
-3.532000E+2	1.859680E-5	-2.056370E-6
-3.346000E+2	2.124920E-5	-5.066430E-7
-3.258000E+2	2.175580E-5	-2.086170E-7
-3.137000E+2	2.315650E-5	-7.748640E-7
-2.923000E+2	2.527250E-5	-1.698740E-6
-2.815000E+2	2.545130E-5	-1.639140E-6
-2.620000E+2	2.676260E-5	-1.728540E-6
-2.507000E+2	2.783550E-5	-1.490120E-6
-2.317000E+2	3.051780E-5	-1.251700E-6
-2.206000E+2	3.176950E-5	-2.384200E-6
-2.009000E+2	3.296160E-5	-3.337870E-6
-1.895000E+2	3.477950E-5	-3.576290E-6
-1.701000E+2	3.713390E-5	-9.536820E-7
-1.559000E+2	3.865380E-5	-5.066430E-7
-1.467000E+2	4.002480E-5	-1.192100E-7
-1.264000E+2	4.255790E-5	-8.046660E-7
-1.167000E+2	4.401830E-5	-3.278270E-7
-9.330000E+1	4.765410E-5	-1.460320E-6
-8.380000E+1	4.878660E-5	-1.490120E-6
-7.410000E+1	4.938270E-5	-9.536820E-7
-5.070000E+1	4.896540E-5	8.046660E-7
-4.170000E+1	4.753490E-5	1.311310E-6
-1.770000E+1	3.892210E-5	3.486890E-6
-8.700000E+0	3.269340E-5	3.933940E-6
1.250000E+1	1.525890E-5	3.099460E-6
2.140000E+1	6.198910E-6	1.877550E-6
4.260000E+1	-1.376870E-5	-5.960510E-8
5.170000E+1	-2.339490E-5	-1.877550E-6
6.460000E+1	-2.950440E-5	-2.622620E-6
8.440000E+1	-3.841540E-5	-2.890840E-6
9.700000E+1	-4.065060E-5	-2.384200E-6
1.081000E+2	-4.202150E-5	-1.937170E-6
1.273000E+2	-4.339240E-5	-3.874320E-7
1.384000E+2	-4.318380E-5	0.000000E+0
1.578000E+2	-4.446530E-5	-2.980250E-8
1.684000E+2	-4.527000E-5	3.278270E-7
1.883000E+2	-4.565740E-5	9.238760E-7
1.984000E+2	-4.482290E-5	8.940730E-7
2.189000E+2	-4.291560E-5	1.519930E-6
2.316000E+2	-4.151490E-5	1.758340E-6
2.406000E+2	-3.999490E-5	9.834840E-7
2.641000E+2	-3.695510E-5	2.980250E-7
2.734000E+2	-3.474970E-5	-1.311310E-6
2.972000E+2	-3.185890E-5	-2.652420E-6
3.064000E+2	-3.063700E-5	-1.251700E-6
3.269000E+2	-2.855070E-5	-5.960510E-8
3.365000E+2	-2.771630E-5	1.043090E-6
3.464000E+2	-2.661360E-5	1.549730E-6
3.669000E+2	-2.360360E-5	1.788150E-7
3.882000E+2	-2.172600E-5	-9.536820E-7
3.974000E+2	-2.098100E-5	-1.847750E-6
4.084000E+2	-2.026570E-5	-2.414000E-6
4.280000E+2	-1.966960E-5	1.490130E-7
