Sample Name, Varga_5_4_AM_35.65G
Freq displayed, 3.568, GHz, Power, 12, dBm, 35.65 Ghz, AM, 100%, 92 kHz
SR850: f = 92001.1 Hz; phase = 0 deg; output = 5 V; sens. = 50 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.000000E-5,-7.033000E+2,-1.979840E-3,1.615920E-2,1.628003E-2,9.698512E+1
1.428045E-1,-7.035000E+2,-1.979840E-3,1.616110E-2,1.628192E-2,9.698431E+1
3.418009E-1,-7.035000E+2,-1.979840E-3,1.615920E-2,1.628003E-2,9.698512E+1
5.418065E-1,-6.901000E+2,-1.979840E-3,1.615730E-2,1.627815E-2,9.698593E+1
7.428652E-1,-6.761000E+2,-1.979840E-3,1.615350E-2,1.627438E-2,9.698756E+1
9.418293E-1,-6.434000E+2,-1.979840E-3,1.614580E-2,1.626673E-2,9.699086E+1
1.141846E+0,-6.254000E+2,-1.977940E-3,1.614200E-2,1.626273E-2,9.698584E+1
1.341807E+0,-5.870000E+2,-1.977940E-3,1.614200E-2,1.626273E-2,9.698584E+1
1.541925E+0,-5.670000E+2,-1.977940E-3,1.614200E-2,1.626273E-2,9.698584E+1
1.741808E+0,-5.409000E+2,-1.977940E-3,1.614200E-2,1.626273E-2,9.698584E+1
1.942822E+0,-5.000000E+2,-1.976030E-3,1.613820E-2,1.625873E-2,9.698079E+1
2.141919E+0,-4.799000E+2,-1.976030E-3,1.613440E-2,1.625495E-2,9.698242E+1
2.341840E+0,-4.363000E+2,-1.976030E-3,1.613440E-2,1.624718E-2,9.697899E+1
2.541831E+0,-4.177000E+2,-1.974120E-3,1.612290E-2,1.624331E-2,9.698066E+1
2.741799E+0,-3.831000E+2,-1.972210E-3,1.612100E-2,1.624119E-2,9.697479E+1
2.941832E+0,-3.672000E+2,-1.972210E-3,1.611720E-2,1.623742E-2,9.697642E+1
3.141802E+0,-3.530000E+2,-1.972210E-3,1.611340E-2,1.623365E-2,9.697805E+1
3.341833E+0,-3.242000E+2,-1.968400E-3,1.609810E-2,1.621800E-2,9.697125E+1
3.541799E+0,-3.134000E+2,-1.968400E-3,1.609430E-2,1.621422E-2,9.697288E+1
3.742834E+0,-2.945000E+2,-1.966490E-3,1.607910E-2,1.619891E-2,9.697271E+1
3.941805E+0,-2.854000E+2,-1.964580E-3,1.606950E-2,1.618914E-2,9.697012E+1
4.141831E+0,-2.679000E+2,-1.962680E-3,1.605620E-2,1.617571E-2,9.696916E+1
4.341830E+0,-2.591000E+2,-1.962680E-3,1.605050E-2,1.617005E-2,9.697161E+1
4.542833E+0,-2.412000E+2,-1.960770E-3,1.603900E-2,1.615841E-2,9.696983E+1
4.741832E+0,-2.321000E+2,-1.958860E-3,1.603330E-2,1.615252E-2,9.696556E+1
4.942832E+0,-2.224000E+2,-1.958860E-3,1.602760E-2,1.614686E-2,9.696802E+1
5.141831E+0,-1.994000E+2,-1.956950E-3,1.601990E-2,1.613899E-2,9.696460E+1
5.342828E+0,-1.885000E+2,-1.955050E-3,1.601610E-2,1.613498E-2,9.695954E+1
5.542802E+0,-1.655000E+2,-1.955050E-3,1.599710E-2,1.611612E-2,9.696773E+1
5.742823E+0,-1.512000E+2,-1.953140E-3,1.598940E-2,1.610825E-2,9.696430E+1
5.942799E+0,-1.282000E+2,-1.949320E-3,1.596840E-2,1.608694E-2,9.695987E+1
6.141804E+0,-1.168000E+2,-1.947410E-3,1.596270E-2,1.608105E-2,9.695557E+1
6.341808E+0,-1.054000E+2,-1.947410E-3,1.595130E-2,1.606973E-2,9.696050E+1
6.542830E+0,-8.000000E+1,-1.943600E-3,1.593600E-2,1.605409E-2,9.695362E+1
6.741828E+0,-6.880000E+1,-1.941690E-3,1.592840E-2,1.604631E-2,9.695013E+1
6.941829E+0,-4.660000E+1,-1.939780E-3,1.591120E-2,1.602901E-2,9.695079E+1
7.142868E+0,-3.550000E+1,-1.937870E-3,1.590170E-2,1.601934E-2,9.694812E+1
7.341870E+0,-1.050000E+1,-1.934060E-3,1.588640E-2,1.600370E-2,9.694121E+1
7.541868E+0,5.000000E-1,-1.934060E-3,1.587880E-2,1.599615E-2,9.694450E+1
7.742826E+0,1.180000E+1,-1.932150E-3,1.587500E-2,1.599215E-2,9.693935E+1
7.941823E+0,3.420000E+1,-1.932150E-3,1.587500E-2,1.599215E-2,9.693935E+1
8.141804E+0,5.650000E+1,-1.934060E-3,1.588260E-2,1.599992E-2,9.694286E+1
8.341820E+0,6.760000E+1,-1.935970E-3,1.589020E-2,1.600770E-2,9.694635E+1
8.541823E+0,8.150000E+1,-1.935970E-3,1.589600E-2,1.601346E-2,9.694384E+1
8.741801E+0,1.038000E+2,-1.939780E-3,1.591690E-2,1.603466E-2,9.694833E+1
