Sample Name, Varga_5_4_AM_35.65G
Freq displayed, 3.568, GHz, Power, 12, dBm, 35.65 Ghz, AM, 100%, 92 kHz
SR850: f = 92001.1 Hz; phase = 0 deg; output = 5 V; sens. = 50 mV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-7.033000E+2	-1.979840E-3	1.615920E-2
-7.035000E+2	-1.979840E-3	1.616110E-2
-7.035000E+2	-1.979840E-3	1.615920E-2
-6.901000E+2	-1.979840E-3	1.615730E-2
-6.761000E+2	-1.979840E-3	1.615350E-2
-6.434000E+2	-1.979840E-3	1.614580E-2
-6.254000E+2	-1.977940E-3	1.614200E-2
-5.870000E+2	-1.977940E-3	1.614200E-2
-5.670000E+2	-1.977940E-3	1.614200E-2
-5.409000E+2	-1.977940E-3	1.614200E-2
-5.000000E+2	-1.976030E-3	1.613820E-2
-4.799000E+2	-1.976030E-3	1.613440E-2
-4.363000E+2	-1.976030E-3	1.613440E-2
-4.177000E+2	-1.974120E-3	1.612290E-2
-3.831000E+2	-1.972210E-3	1.612100E-2
-3.672000E+2	-1.972210E-3	1.611720E-2
-3.530000E+2	-1.972210E-3	1.611340E-2
-3.242000E+2	-1.968400E-3	1.609810E-2
-3.134000E+2	-1.968400E-3	1.609430E-2
-2.945000E+2	-1.966490E-3	1.607910E-2
-2.854000E+2	-1.964580E-3	1.606950E-2
-2.679000E+2	-1.962680E-3	1.605620E-2
-2.591000E+2	-1.962680E-3	1.605050E-2
-2.412000E+2	-1.960770E-3	1.603900E-2
-2.321000E+2	-1.958860E-3	1.603330E-2
-2.224000E+2	-1.958860E-3	1.602760E-2
-1.994000E+2	-1.956950E-3	1.601990E-2
-1.885000E+2	-1.955050E-3	1.601610E-2
-1.655000E+2	-1.955050E-3	1.599710E-2
-1.512000E+2	-1.953140E-3	1.598940E-2
-1.282000E+2	-1.949320E-3	1.596840E-2
-1.168000E+2	-1.947410E-3	1.596270E-2
-1.054000E+2	-1.947410E-3	1.595130E-2
-8.000000E+1	-1.943600E-3	1.593600E-2
-6.880000E+1	-1.941690E-3	1.592840E-2
-4.660000E+1	-1.939780E-3	1.591120E-2
-3.550000E+1	-1.937870E-3	1.590170E-2
-1.050000E+1	-1.934060E-3	1.588640E-2
5.000000E-1	-1.934060E-3	1.587880E-2
1.180000E+1	-1.932150E-3	1.587500E-2
3.420000E+1	-1.932150E-3	1.587500E-2
5.650000E+1	-1.934060E-3	1.588260E-2
6.760000E+1	-1.935970E-3	1.589020E-2
8.150000E+1	-1.935970E-3	1.589600E-2
1.038000E+2	-1.939780E-3	1.591690E-2
1.149000E+2	-1.941690E-3	1.592650E-2
1.260000E+2	-1.941690E-3	1.593980E-2
1.511000E+2	-1.945500E-3	1.595510E-2
1.625000E+2	-1.947410E-3	1.596270E-2
1.848000E+2	-1.949320E-3	1.597800E-2
1.959000E+2	-1.951230E-3	1.598750E-2
2.209000E+2	-1.955050E-3	1.600470E-2
2.319000E+2	-1.955050E-3	1.601610E-2
2.434000E+2	-1.956950E-3	1.602570E-2
2.714000E+2	-1.958860E-3	1.604090E-2
2.824000E+2	-1.960770E-3	1.604660E-2
3.048000E+2	-1.962680E-3	1.606000E-2
3.159000E+2	-1.964580E-3	1.606760E-2
3.273000E+2	-1.966490E-3	1.607330E-2
3.523000E+2	-1.966490E-3	1.608100E-2
3.637000E+2	-1.968400E-3	1.608480E-2
3.891000E+2	-1.968400E-3	1.609620E-2
4.003000E+2	-1.968400E-3	1.610200E-2
4.115000E+2	-1.970310E-3	1.610770E-2
4.369000E+2	-1.970310E-3	1.611340E-2
4.480000E+2	-1.970310E-3	1.611530E-2
4.731000E+2	-1.970310E-3	1.611720E-2
4.843000E+2	-1.972210E-3	1.612100E-2
4.983000E+2	-1.972210E-3	1.612680E-2
5.209000E+2	-1.974120E-3	1.613440E-2
5.320000E+2	-1.974120E-3	1.613820E-2
5.433000E+2	-1.976030E-3	1.614200E-2
5.683000E+2	-1.976030E-3	1.614770E-2
5.797000E+2	-1.976030E-3	1.614960E-2
