Sample Name, Varga_5_4_AM_35.65G
Freq displayed, 3.568, GHz, Power, 12, dBm, 35.65 Ghz, AM, 50%, 1 kHz
SR850: f = 1000.03 Hz; phase = -15.772 deg; output = 5 V; sens. = 50 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
3.800000E-5,-7.251000E+2,1.663980E-2,1.525890E-5,1.663981E-2,5.254092E-2
1.924158E-1,-7.251000E+2,1.663790E-2,1.335150E-5,1.663791E-2,4.597843E-2
3.924040E-1,-7.233000E+2,1.663600E-2,1.525890E-5,1.663601E-2,5.255292E-2
5.924069E-1,-7.154000E+2,1.663600E-2,1.716630E-5,1.663601E-2,5.912216E-2
7.934658E-1,-6.930000E+2,1.663410E-2,1.716630E-5,1.663411E-2,5.912891E-2
9.924059E-1,-6.797000E+2,1.663220E-2,1.907360E-5,1.663221E-2,6.570606E-2
1.192409E+0,-6.617000E+2,1.663030E-2,1.716630E-5,1.663031E-2,5.914242E-2
1.392406E+0,-6.312000E+2,1.662650E-2,1.716630E-5,1.662651E-2,5.915594E-2
1.593411E+0,-6.109000E+2,1.662460E-2,1.716630E-5,1.662461E-2,5.916270E-2
1.792408E+0,-5.949000E+2,1.662080E-2,1.716630E-5,1.662081E-2,5.917623E-2
1.993407E+0,-5.638000E+2,1.661310E-2,1.525890E-5,1.661311E-2,5.262536E-2
2.192403E+0,-5.487000E+2,1.661120E-2,1.525890E-5,1.661121E-2,5.263138E-2
2.392405E+0,-5.202000E+2,1.660930E-2,1.335150E-5,1.660931E-2,4.605760E-2
2.592411E+0,-5.068000E+2,1.660930E-2,1.144420E-5,1.660930E-2,3.947814E-2
2.792408E+0,-4.915000E+2,1.660740E-2,1.144420E-5,1.660740E-2,3.948266E-2
2.992409E+0,-4.673000E+2,1.660360E-2,1.335150E-5,1.660361E-2,4.607341E-2
3.192401E+0,-4.571000E+2,1.660170E-2,1.335150E-5,1.660171E-2,4.607868E-2
3.392410E+0,-4.375000E+2,1.659790E-2,1.335150E-5,1.659791E-2,4.608923E-2
3.592406E+0,-4.275000E+2,1.659600E-2,1.144420E-5,1.659600E-2,3.950978E-2
3.792402E+0,-4.053000E+2,1.659020E-2,1.144420E-5,1.659020E-2,3.952359E-2
3.992408E+0,-3.952000E+2,1.658450E-2,1.144420E-5,1.658450E-2,3.953717E-2
4.192403E+0,-3.819000E+2,1.658070E-2,1.144420E-5,1.658070E-2,3.954624E-2
4.392371E+0,-3.611000E+2,1.657120E-2,1.144420E-5,1.657120E-2,3.956891E-2
4.592405E+0,-3.503000E+2,1.656930E-2,1.144420E-5,1.656930E-2,3.957344E-2
4.792402E+0,-3.274000E+2,1.655590E-2,1.335150E-5,1.655591E-2,4.620615E-2
4.993414E+0,-3.128000E+2,1.655210E-2,1.144420E-5,1.655210E-2,3.961457E-2
5.192406E+0,-3.013000E+2,1.654450E-2,1.144420E-5,1.654450E-2,3.963276E-2
5.392417E+0,-2.759000E+2,1.653110E-2,9.536800E-6,1.653110E-2,3.305396E-2
5.592438E+0,-2.645000E+2,1.652920E-2,9.536800E-6,1.652920E-2,3.305776E-2
5.792419E+0,-2.420000E+2,1.651970E-2,9.536800E-6,1.651970E-2,3.307677E-2
5.993412E+0,-2.311000E+2,1.651590E-2,9.536800E-6,1.651590E-2,3.308438E-2
6.192402E+0,-2.063000E+2,1.650440E-2,7.629450E-6,1.650440E-2,2.648598E-2
6.392402E+0,-1.951000E+2,1.649490E-2,7.629450E-6,1.649490E-2,2.650124E-2
6.592403E+0,-1.812000E+2,1.648720E-2,7.629450E-6,1.648720E-2,2.651361E-2
6.792407E+0,-1.590000E+2,1.646820E-2,5.722080E-6,1.646820E-2,1.990813E-2
6.992405E+0,-1.479000E+2,1.645860E-2,3.814730E-6,1.645860E-2,1.327986E-2
7.192407E+0,-1.369000E+2,1.644910E-2,3.814730E-6,1.644910E-2,1.328753E-2
7.392381E+0,-1.117000E+2,1.642240E-2,1.907360E-6,1.642240E-2,6.654550E-3
7.592459E+0,-1.005000E+2,1.641090E-2,1.907360E-6,1.641090E-2,6.659213E-3
7.792402E+0,-7.470000E+1,1.639000E-2,0.000000E+0,1.639000E-2,0.000000E+0
7.993453E+0,-6.370000E+1,1.638230E-2,0.000000E+0,1.638230E-2,0.000000E+0
8.192404E+0,-4.980000E+1,1.637280E-2,0.000000E+0,1.637280E-2,0.000000E+0
8.392409E+0,-2.740000E+1,1.635370E-2,0.000000E+0,1.635370E-2,0.000000E+0
8.592412E+0,-1.350000E+1,1.634420E-2,0.000000E+0,1.634420E-2,0.000000E+0
8.792407E+0,-2.400000E+0,1.633660E-2,0.000000E+0,1.633660E-2,0.000000E+0
8.992404E+0,2.240000E+1,1.633080E-2,0.000000E+0,1.633080E-2,0.000000E+0
9.192408E+0,3.380000E+1,1.633270E-2,0.000000E+0,1.633270E-2,0.000000E+0
9.392481E+0,5.620000E+1,1.634610E-2,0.000000E+0,1.634610E-2,0.000000E+0
9.592409E+0,6.730000E+1,1.635370E-2,0.000000E+0,1.635370E-2,0.000000E+0
9.792408E+0,8.980000E+1,1.637090E-2,0.000000E+0,1.637090E-2,0.000000E+0
9.992411E+0,1.010000E+2,1.638230E-2,0.000000E+0,1.638230E-2,0.000000E+0
1.019342E+1,1.258000E+2,1.640140E-2,1.907360E-6,1.640140E-2,6.663070E-3
1.039241E+1,1.371000E+2,1.641480E-2,3.814730E-6,1.641480E-2,1.331530E-2
1.059241E+1,1.516000E+2,1.642430E-2,3.814730E-6,1.642430E-2,1.330759E-2
1.079241E+1,1.734000E+2,1.643760E-2,3.814730E-6,1.643760E-2,1.329683E-2
1.099240E+1,1.876000E+2,1.644530E-2,3.814730E-6,1.644530E-2,1.329060E-2
1.119240E+1,1.988000E+2,1.645100E-2,5.722080E-6,1.645100E-2,1.992894E-2
1.139241E+1,2.237000E+2,1.646820E-2,7.629450E-6,1.646820E-2,2.654420E-2
1.159242E+1,2.347000E+2,1.647960E-2,9.536800E-6,1.647960E-2,3.315726E-2
1.179241E+1,2.573000E+2,1.649680E-2,1.144420E-5,1.649680E-2,3.974736E-2
1.199238E+1,2.686000E+2,1.650440E-2,1.144420E-5,1.650440E-2,3.972906E-2
1.219250E+1,2.907000E+2,1.651780E-2,1.144420E-5,1.651780E-2,3.969683E-2
1.239242E+1,3.019000E+2,1.652350E-2,1.144420E-5,1.652350E-2,3.968313E-2
1.259347E+1,3.132000E+2,1.652920E-2,1.144420E-5,1.652920E-2,3.966945E-2
1.279240E+1,3.379000E+2,1.653680E-2,1.144420E-5,1.653680E-2,3.965122E-2
1.299241E+1,3.494000E+2,1.654060E-2,1.335150E-5,1.654061E-2,4.624889E-2
1.319241E+1,3.722000E+2,1.654830E-2,1.335150E-5,1.654831E-2,4.622737E-2
1.339241E+1,3.835000E+2,1.655590E-2,1.335150E-5,1.655591E-2,4.620615E-2
1.359245E+1,4.086000E+2,1.656540E-2,1.335150E-5,1.656541E-2,4.617965E-2
1.379345E+1,4.198000E+2,1.656930E-2,1.335150E-5,1.656931E-2,4.616878E-2
1.399241E+1,4.310000E+2,1.657120E-2,1.335150E-5,1.657121E-2,4.616349E-2
