Sample Name, Varga_5_4_AM_35.65G
Freq displayed, 3.568, GHz, Power, 12, dBm, 35.65 Ghz, AM, 50%, 1 kHz
SR850: f = 1000.03 Hz; phase = -15.772 deg; output = 5 V; sens. = 50 mV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-7.251000E+2	1.663980E-2	1.525890E-5
-7.251000E+2	1.663790E-2	1.335150E-5
-7.233000E+2	1.663600E-2	1.525890E-5
-7.154000E+2	1.663600E-2	1.716630E-5
-6.930000E+2	1.663410E-2	1.716630E-5
-6.797000E+2	1.663220E-2	1.907360E-5
-6.617000E+2	1.663030E-2	1.716630E-5
-6.312000E+2	1.662650E-2	1.716630E-5
-6.109000E+2	1.662460E-2	1.716630E-5
-5.949000E+2	1.662080E-2	1.716630E-5
-5.638000E+2	1.661310E-2	1.525890E-5
-5.487000E+2	1.661120E-2	1.525890E-5
-5.202000E+2	1.660930E-2	1.335150E-5
-5.068000E+2	1.660930E-2	1.144420E-5
-4.915000E+2	1.660740E-2	1.144420E-5
-4.673000E+2	1.660360E-2	1.335150E-5
-4.571000E+2	1.660170E-2	1.335150E-5
-4.375000E+2	1.659790E-2	1.335150E-5
-4.275000E+2	1.659600E-2	1.144420E-5
-4.053000E+2	1.659020E-2	1.144420E-5
-3.952000E+2	1.658450E-2	1.144420E-5
-3.819000E+2	1.658070E-2	1.144420E-5
-3.611000E+2	1.657120E-2	1.144420E-5
-3.503000E+2	1.656930E-2	1.144420E-5
-3.274000E+2	1.655590E-2	1.335150E-5
-3.128000E+2	1.655210E-2	1.144420E-5
-3.013000E+2	1.654450E-2	1.144420E-5
-2.759000E+2	1.653110E-2	9.536800E-6
-2.645000E+2	1.652920E-2	9.536800E-6
-2.420000E+2	1.651970E-2	9.536800E-6
-2.311000E+2	1.651590E-2	9.536800E-6
-2.063000E+2	1.650440E-2	7.629450E-6
-1.951000E+2	1.649490E-2	7.629450E-6
-1.812000E+2	1.648720E-2	7.629450E-6
-1.590000E+2	1.646820E-2	5.722080E-6
-1.479000E+2	1.645860E-2	3.814730E-6
-1.369000E+2	1.644910E-2	3.814730E-6
-1.117000E+2	1.642240E-2	1.907360E-6
-1.005000E+2	1.641090E-2	1.907360E-6
-7.470000E+1	1.639000E-2	0.000000E+0
-6.370000E+1	1.638230E-2	0.000000E+0
-4.980000E+1	1.637280E-2	0.000000E+0
-2.740000E+1	1.635370E-2	0.000000E+0
-1.350000E+1	1.634420E-2	0.000000E+0
-2.400000E+0	1.633660E-2	0.000000E+0
2.240000E+1	1.633080E-2	0.000000E+0
3.380000E+1	1.633270E-2	0.000000E+0
5.620000E+1	1.634610E-2	0.000000E+0
6.730000E+1	1.635370E-2	0.000000E+0
8.980000E+1	1.637090E-2	0.000000E+0
1.010000E+2	1.638230E-2	0.000000E+0
1.258000E+2	1.640140E-2	1.907360E-6
1.371000E+2	1.641480E-2	3.814730E-6
1.516000E+2	1.642430E-2	3.814730E-6
1.734000E+2	1.643760E-2	3.814730E-6
1.876000E+2	1.644530E-2	3.814730E-6
1.988000E+2	1.645100E-2	5.722080E-6
2.237000E+2	1.646820E-2	7.629450E-6
2.347000E+2	1.647960E-2	9.536800E-6
2.573000E+2	1.649680E-2	1.144420E-5
2.686000E+2	1.650440E-2	1.144420E-5
2.907000E+2	1.651780E-2	1.144420E-5
3.019000E+2	1.652350E-2	1.144420E-5
3.132000E+2	1.652920E-2	1.144420E-5
3.379000E+2	1.653680E-2	1.144420E-5
3.494000E+2	1.654060E-2	1.335150E-5
3.722000E+2	1.654830E-2	1.335150E-5
3.835000E+2	1.655590E-2	1.335150E-5
4.086000E+2	1.656540E-2	1.335150E-5
4.198000E+2	1.656930E-2	1.335150E-5
4.310000E+2	1.657120E-2	1.335150E-5
4.558000E+2	1.657310E-2	1.144420E-5
4.671000E+2	1.657310E-2	1.144420E-5
4.898000E+2	1.657310E-2	1.144420E-5
5.011000E+2	1.657500E-2	9.536800E-6
5.155000E+2	1.657500E-2	9.536800E-6
