Sample Name, Varga_5_4_Klyst36G
Freq displayed, 3.568, GHz, Power, 21, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.487000E+2	3.159060E-6	-3.308070E-6
-6.490000E+2	3.159060E-6	-2.890840E-6
-6.487000E+2	3.427280E-6	-1.370910E-6
-6.445000E+2	4.321370E-6	-3.874320E-7
-6.411000E+2	4.470380E-6	-5.960510E-8
-6.354000E+2	4.172350E-6	7.450620E-7
-6.238000E+2	4.380970E-6	-6.258520E-7
-6.171000E+2	3.606100E-6	-3.874320E-7
-6.043000E+2	3.248470E-6	5.364450E-7
-5.995000E+2	2.354400E-6	3.278270E-7
-5.929000E+2	7.748640E-7	6.258520E-7
-5.811000E+2	5.960500E-7	6.556550E-7
-5.746000E+2	1.788150E-7	1.072890E-6
-5.688000E+2	-8.940740E-8	1.460320E-6
-5.606000E+2	3.576300E-7	2.473610E-6
-5.550000E+2	8.344690E-7	2.324600E-6
-5.485000E+2	2.384200E-6	1.043090E-6
-5.439000E+2	2.503410E-6	7.450620E-7
-5.412000E+2	2.592820E-6	4.768410E-7
-5.325000E+2	2.622620E-6	7.748640E-7
-5.290000E+2	2.890840E-6	6.258520E-7
-5.211000E+2	2.861040E-6	5.960510E-8
-5.179000E+2	2.861040E-6	-2.384200E-7
-5.091000E+2	3.397480E-6	5.960510E-8
-5.062000E+2	3.725300E-6	6.258520E-7
-4.972000E+2	3.516690E-6	5.960500E-7
-4.943000E+2	2.801430E-6	7.748640E-7
-4.851000E+2	3.963740E-6	1.788150E-7
-4.820000E+2	4.947210E-6	-2.086170E-7
-4.716000E+2	5.960490E-6	-1.400720E-6
-4.687000E+2	6.198910E-6	-1.788150E-6
-4.597000E+2	5.960490E-6	-1.311310E-6
-4.567000E+2	5.990300E-6	-1.072890E-6
-4.480000E+2	6.020100E-6	-6.854570E-7
-4.449000E+2	6.258520E-6	-1.192100E-7
-4.398000E+2	6.407530E-6	3.576300E-7
-4.329000E+2	6.824760E-6	1.490130E-7
-4.280000E+2	6.943970E-6	3.874320E-7
-4.206000E+2	6.824760E-6	7.748640E-7
-4.161000E+2	7.033380E-6	8.940740E-8
-4.084000E+2	7.301600E-6	-5.960500E-7
-4.032000E+2	7.182390E-6	2.384200E-7
-4.002000E+2	6.526740E-6	3.278270E-7
-3.906000E+2	7.092980E-6	8.940730E-7
-3.868000E+2	7.331400E-6	7.748640E-7
-3.778000E+2	8.314910E-6	4.172340E-7
-3.731000E+2	8.821550E-6	2.682230E-7
-3.652000E+2	9.328190E-6	7.152590E-7
-3.611000E+2	9.477200E-6	5.960510E-8
-3.579000E+2	8.761940E-6	-1.370910E-6
-3.480000E+2	8.493720E-6	-6.556550E-7
-3.448000E+2	9.059960E-6	0.000000E+0
-3.359000E+2	1.037130E-5	3.576300E-7
-3.329000E+2	1.102690E-5	7.450620E-7
-3.242000E+2	1.087790E-5	6.556550E-7
-3.210000E+2	1.010300E-5	4.172340E-7
-3.125000E+2	1.010300E-5	-1.788150E-7
-3.087000E+2	9.417590E-6	-1.102690E-6
-3.010000E+2	9.447390E-6	-1.698740E-6
-2.966000E+2	1.034150E-5	-1.400720E-6
-2.922000E+2	1.010300E-5	-2.980250E-7
-2.843000E+2	1.198060E-5	1.281510E-6
-2.792000E+2	1.218920E-5	1.013290E-6
-2.712000E+2	1.207000E-5	1.788150E-7
-2.663000E+2	1.156340E-5	5.066430E-7
-2.589000E+2	1.284490E-5	5.662480E-7
-2.545000E+2	1.299390E-5	1.102690E-6
-2.468000E+2	1.463300E-5	1.043090E-6
-2.428000E+2	1.534830E-5	9.238760E-7
-2.384000E+2	1.531850E-5	1.579530E-6
-2.292000E+2	1.624240E-5	1.460320E-6
-2.263000E+2	1.642120E-5	6.854570E-7
-2.161000E+2	1.490120E-5	5.960500E-7
-2.130000E+2	1.406680E-5	2.980250E-8
-2.092000E+2	1.388790E-5	-1.102690E-6
