Sample Name, Varga_5_4_Klyst36G
Freq displayed, 3.568, GHz, Power, 14, mV
SR850: f = 25 Hz; phase = 0 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.130000E-5,-6.635000E+2,-8.046660E-7,-2.473610E-6,2.601199E-6,-1.080197E+2
1.839130E-1,-6.625000E+2,-1.192100E-6,-3.188860E-6,3.404399E-6,-1.104974E+2
3.839098E-1,-6.636000E+2,-8.344690E-7,-3.308070E-6,3.411695E-6,-1.041576E+2
5.829131E-1,-6.626000E+2,-5.662480E-7,-2.115980E-6,2.190436E-6,-1.049816E+2
7.839137E-1,-6.627000E+2,0.000000E+0,-1.579530E-6,1.579530E-6,-9.000000E+1
9.839138E-1,-6.599000E+2,1.281510E-6,-1.490120E-6,1.965382E-6,-4.930432E+1
1.182911E+0,-6.582000E+2,1.996770E-6,-1.341110E-6,2.405341E-6,-3.388688E+1
1.382914E+0,-6.516000E+2,2.294790E-6,-1.698740E-6,2.855132E-6,-3.651105E+1
1.582970E+0,-6.488000E+2,2.443800E-6,-2.145780E-6,3.252158E-6,-4.128477E+1
1.783904E+0,-6.434000E+2,2.473610E-6,-2.682220E-6,3.648705E-6,-4.731698E+1
1.983912E+0,-6.333000E+2,3.159060E-6,-2.563010E-6,4.068007E-6,-3.905313E+1
2.182912E+0,-6.240000E+2,2.294790E-6,-2.443800E-6,3.352345E-6,-4.680113E+1
2.383894E+0,-6.077000E+2,4.768410E-7,-9.834840E-7,1.092986E-6,-6.413363E+1
2.582977E+0,-5.966000E+2,6.556550E-7,-1.072890E-6,1.257369E-6,-5.857044E+1
2.783911E+0,-5.752000E+2,0.000000E+0,-8.642710E-7,8.642710E-7,-9.000000E+1
2.983907E+0,-5.621000E+2,-8.940740E-8,-1.043090E-6,1.046915E-6,-9.489908E+1
3.182909E+0,-5.382000E+2,-1.519930E-6,-2.741830E-6,3.134935E-6,-1.190017E+2
3.383975E+0,-5.219000E+2,-1.490120E-6,-2.324600E-6,2.761200E-6,-1.226608E+2
3.583912E+0,-5.091000E+2,-1.490120E-6,-2.175580E-6,2.636969E-6,-1.244084E+2
3.782911E+0,-4.834000E+2,0.000000E+0,-2.741830E-6,2.741830E-6,-9.000000E+1
3.982908E+0,-4.714000E+2,9.536820E-7,-3.010050E-6,3.157516E-6,-7.242010E+1
4.182909E+0,-4.463000E+2,5.364450E-7,-3.904130E-6,3.940813E-6,-8.217630E+1
4.383907E+0,-4.320000E+2,8.046660E-7,-3.993540E-6,4.073800E-6,-7.860790E+1
4.582909E+0,-4.095000E+2,1.907360E-6,-2.384200E-6,3.053266E-6,-5.134019E+1
4.782914E+0,-3.991000E+2,1.579530E-6,-2.801430E-6,3.216042E-6,-6.058440E+1
4.982912E+0,-3.781000E+2,0.000000E+0,-2.592820E-6,2.592820E-6,-9.000000E+1
5.182966E+0,-3.690000E+2,-1.013290E-6,-3.159060E-6,3.317592E-6,-1.077840E+2
5.382918E+0,-3.595000E+2,-1.758340E-6,-3.933940E-6,4.309019E-6,-1.140831E+2
5.583910E+0,-3.377000E+2,-1.847750E-6,-5.155830E-6,5.476930E-6,-1.097167E+2
