Sample Name, Varga_5_4_Klyst36G
Freq displayed, 3.568, GHz, Power, 14, mV
SR850: f = 25 Hz; phase = 0 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.635000E+2	-8.046660E-7	-2.473610E-6
-6.625000E+2	-1.192100E-6	-3.188860E-6
-6.636000E+2	-8.344690E-7	-3.308070E-6
-6.626000E+2	-5.662480E-7	-2.115980E-6
-6.627000E+2	0.000000E+0	-1.579530E-6
-6.599000E+2	1.281510E-6	-1.490120E-6
-6.582000E+2	1.996770E-6	-1.341110E-6
-6.516000E+2	2.294790E-6	-1.698740E-6
-6.488000E+2	2.443800E-6	-2.145780E-6
-6.434000E+2	2.473610E-6	-2.682220E-6
-6.333000E+2	3.159060E-6	-2.563010E-6
-6.240000E+2	2.294790E-6	-2.443800E-6
-6.077000E+2	4.768410E-7	-9.834840E-7
-5.966000E+2	6.556550E-7	-1.072890E-6
-5.752000E+2	0.000000E+0	-8.642710E-7
-5.621000E+2	-8.940740E-8	-1.043090E-6
-5.382000E+2	-1.519930E-6	-2.741830E-6
-5.219000E+2	-1.490120E-6	-2.324600E-6
-5.091000E+2	-1.490120E-6	-2.175580E-6
-4.834000E+2	0.000000E+0	-2.741830E-6
-4.714000E+2	9.536820E-7	-3.010050E-6
-4.463000E+2	5.364450E-7	-3.904130E-6
-4.320000E+2	8.046660E-7	-3.993540E-6
-4.095000E+2	1.907360E-6	-2.384200E-6
-3.991000E+2	1.579530E-6	-2.801430E-6
-3.781000E+2	0.000000E+0	-2.592820E-6
-3.690000E+2	-1.013290E-6	-3.159060E-6
-3.595000E+2	-1.758340E-6	-3.933940E-6
-3.377000E+2	-1.847750E-6	-5.155830E-6
-3.281000E+2	-1.937170E-6	-4.619390E-6
-3.063000E+2	-1.341110E-6	-3.755110E-6
-2.969000E+2	-1.311310E-6	-4.589590E-6
-2.842000E+2	-4.172340E-7	-5.871090E-6
-2.647000E+2	-2.086170E-7	-5.692270E-6
-2.519000E+2	-8.940740E-8	-5.304840E-6
-2.406000E+2	5.960500E-7	-5.483660E-6
-2.191000E+2	1.460320E-6	-5.930690E-6
-2.078000E+2	9.238760E-7	-6.407530E-6
-1.883000E+2	5.960510E-8	-8.016880E-6
-1.771000E+2	2.980250E-8	-8.612930E-6
-1.578000E+2	1.013290E-6	-1.013280E-5
-1.446000E+2	1.519930E-6	-1.129510E-5
-1.347000E+2	1.430520E-6	-1.189120E-5
-1.144000E+2	1.162300E-6	-1.168260E-5
-1.050000E+2	1.341110E-6	-1.108650E-5
-8.130000E+1	7.450620E-7	-1.078850E-5
-7.210000E+1	3.576300E-7	-1.093750E-5
-5.190000E+1	1.013290E-6	-1.046070E-5
-4.210000E+1	1.043090E-6	-9.954030E-6
-2.110000E+1	-8.940740E-8	-9.357990E-6
-1.180000E+1	-2.682230E-7	-7.540020E-6
1.000000E+0	1.490130E-7	-4.559780E-6
2.140000E+1	-5.066430E-7	2.980250E-8
3.370000E+1	-9.536820E-7	1.460320E-6
5.450000E+1	-1.728540E-6	4.708800E-6
6.420000E+1	-9.536820E-7	6.407530E-6
8.470000E+1	-5.960500E-7	8.881150E-6
9.480000E+1	-5.066430E-7	9.357990E-6
1.059000E+2	-8.046660E-7	9.298380E-6
1.273000E+2	-2.294790E-6	1.037130E-5
1.387000E+2	-2.682220E-6	9.834820E-6
1.579000E+2	-3.546490E-6	7.838070E-6
1.691000E+2	-3.635900E-6	7.092980E-6
1.885000E+2	-3.874330E-6	7.897670E-6
1.992000E+2	-3.516690E-6	8.374510E-6
2.190000E+2	-1.639140E-6	7.897670E-6
2.292000E+2	-9.536820E-7	7.897670E-6
2.382000E+2	-3.278270E-7	7.957280E-6
2.620000E+2	3.576300E-7	5.543260E-6
2.711000E+2	-5.066430E-7	5.006820E-6
2.922000E+2	-1.251700E-6	4.231960E-6
3.011000E+2	-8.940730E-7	4.291560E-6
3.223000E+2	-1.162300E-6	3.665700E-6
3.317000E+2	-2.026570E-6	4.142550E-6
