Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 20, dBm, 35.65 Ghz
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.280000E-5,-6.810000E+2,-4.947210E-6,-2.384200E-6,5.491748E-6,-1.542693E+2
1.875939E-1,-6.803000E+2,-3.844530E-6,-1.937170E-6,4.305002E-6,-1.532575E+2
3.875858E-1,-6.813000E+2,-2.920640E-6,-1.043090E-6,3.101318E-6,-1.603461E+2
5.876546E-1,-6.764000E+2,-4.112750E-6,-2.682230E-7,4.121487E-6,-1.762686E+2
7.875857E-1,-6.703000E+2,-4.202160E-6,2.384200E-7,4.208918E-6,1.767527E+2
9.876605E-1,-6.575000E+2,-3.069650E-6,-2.980250E-7,3.084083E-6,-1.744547E+2
1.188621E+0,-6.482000E+2,-2.741830E-6,-1.013290E-6,2.923079E-6,-1.597174E+2
1.388591E+0,-6.326000E+2,-2.324600E-6,-1.668940E-6,2.861665E-6,-1.443237E+2
1.588592E+0,-6.247000E+2,-2.145780E-6,-1.370910E-6,2.546324E-6,-1.474260E+2
1.787595E+0,-6.105000E+2,-3.576290E-6,-1.490120E-6,3.874314E-6,-1.573801E+2
1.987590E+0,-6.029000E+2,-3.606100E-6,-1.609330E-6,3.948911E-6,-1.559498E+2
2.187597E+0,-5.963000E+2,-2.503410E-6,-1.907360E-6,3.147234E-6,-1.426961E+2
2.388626E+0,-5.848000E+2,-2.324600E-6,-1.490120E-6,2.761200E-6,-1.473392E+2
2.587592E+0,-5.800000E+2,-3.576290E-6,-8.940730E-7,3.686355E-6,-1.659638E+2
2.788589E+0,-5.702000E+2,-3.367680E-6,-2.175580E-6,4.009291E-6,-1.471368E+2
2.987643E+0,-5.658000E+2,-3.427280E-6,-1.519930E-6,3.749191E-6,-1.560837E+2
3.187622E+0,-5.592000E+2,-3.218670E-6,-6.258520E-7,3.278952E-6,-1.689965E+2
3.387668E+0,-5.551000E+2,-3.308070E-6,-1.162300E-6,3.506318E-6,-1.606409E+2
3.588591E+0,-5.529000E+2,-3.457080E-6,-1.907360E-6,3.948345E-6,-1.511134E+2
3.788584E+0,-5.452000E+2,-3.933940E-6,-1.817950E-6,4.333685E-6,-1.551974E+2
3.987605E+0,-5.421000E+2,-4.261760E-6,-8.940730E-7,4.354534E-6,-1.681518E+2
4.187600E+0,-5.335000E+2,-3.367680E-6,9.536820E-7,3.500111E-6,1.641886E+2
4.387650E+0,-5.303000E+2,-3.337870E-6,1.043090E-6,3.497058E-6,1.626459E+2
4.587589E+0,-5.268000E+2,-3.367680E-6,8.940730E-7,3.484341E-6,1.651317E+2
4.788586E+0,-5.182000E+2,-3.218670E-6,-3.278270E-7,3.235322E-6,-1.741844E+2
4.987628E+0,-5.149000E+2,-3.188860E-6,-7.450620E-7,3.274744E-6,-1.668490E+2
5.187641E+0,-5.045000E+2,-3.576290E-6,-1.430520E-6,3.851784E-6,-1.581985E+2
5.387591E+0,-5.010000E+2,-3.248470E-6,-1.102690E-6,3.430522E-6,-1.612503E+2
5.587591E+0,-4.957000E+2,-3.039850E-6,-8.344690E-7,3.152305E-6,-1.646499E+2
5.787590E+0,-4.877000E+2,-3.069650E-6,-7.450620E-7,3.158776E-6,-1.663571E+2
5.988600E+0,-4.829000E+2,-2.533210E-6,-1.758340E-6,3.083652E-6,-1.452349E+2
6.188551E+0,-4.757000E+2,-3.069650E-6,-1.579530E-6,3.452197E-6,-1.527713E+2
6.387682E+0,-4.705000E+2,-3.725300E-6,-8.344690E-7,3.817617E-6,-1.673741E+2
6.587662E+0,-4.637000E+2,-4.023340E-6,-9.238760E-7,4.128052E-6,-1.670674E+2
6.788597E+0,-4.584000E+2,-4.291560E-6,-1.043090E-6,4.416506E-6,-1.663388E+2
6.987646E+0,-4.543000E+2,-3.963740E-6,-6.556550E-7,4.017601E-6,-1.706076E+2
7.188594E+0,-4.462000E+2,-3.844530E-6,-1.549730E-6,4.145127E-6,-1.580456E+2
7.387594E+0,-4.413000E+2,-3.695500E-6,-1.728540E-6,4.079776E-6,-1.549325E+2
7.588551E+0,-4.339000E+2,-4.828010E-6,-1.907360E-6,5.191118E-6,-1.584429E+2
7.787560E+0,-4.295000E+2,-4.768400E-6,-2.175580E-6,5.241258E-6,-1.554752E+2
7.987610E+0,-4.214000E+2,-4.768400E-6,-2.712030E-6,5.485685E-6,-1.503709E+2
