Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 20, dBm, 35.65 Ghz
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.810000E+2	-4.947210E-6	-2.384200E-6
-6.803000E+2	-3.844530E-6	-1.937170E-6
-6.813000E+2	-2.920640E-6	-1.043090E-6
-6.764000E+2	-4.112750E-6	-2.682230E-7
-6.703000E+2	-4.202160E-6	2.384200E-7
-6.575000E+2	-3.069650E-6	-2.980250E-7
-6.482000E+2	-2.741830E-6	-1.013290E-6
-6.326000E+2	-2.324600E-6	-1.668940E-6
-6.247000E+2	-2.145780E-6	-1.370910E-6
-6.105000E+2	-3.576290E-6	-1.490120E-6
-6.029000E+2	-3.606100E-6	-1.609330E-6
-5.963000E+2	-2.503410E-6	-1.907360E-6
-5.848000E+2	-2.324600E-6	-1.490120E-6
-5.800000E+2	-3.576290E-6	-8.940730E-7
-5.702000E+2	-3.367680E-6	-2.175580E-6
-5.658000E+2	-3.427280E-6	-1.519930E-6
-5.592000E+2	-3.218670E-6	-6.258520E-7
-5.551000E+2	-3.308070E-6	-1.162300E-6
-5.529000E+2	-3.457080E-6	-1.907360E-6
-5.452000E+2	-3.933940E-6	-1.817950E-6
-5.421000E+2	-4.261760E-6	-8.940730E-7
-5.335000E+2	-3.367680E-6	9.536820E-7
-5.303000E+2	-3.337870E-6	1.043090E-6
-5.268000E+2	-3.367680E-6	8.940730E-7
-5.182000E+2	-3.218670E-6	-3.278270E-7
-5.149000E+2	-3.188860E-6	-7.450620E-7
-5.045000E+2	-3.576290E-6	-1.430520E-6
-5.010000E+2	-3.248470E-6	-1.102690E-6
-4.957000E+2	-3.039850E-6	-8.344690E-7
-4.877000E+2	-3.069650E-6	-7.450620E-7
-4.829000E+2	-2.533210E-6	-1.758340E-6
-4.757000E+2	-3.069650E-6	-1.579530E-6
-4.705000E+2	-3.725300E-6	-8.344690E-7
-4.637000E+2	-4.023340E-6	-9.238760E-7
-4.584000E+2	-4.291560E-6	-1.043090E-6
-4.543000E+2	-3.963740E-6	-6.556550E-7
-4.462000E+2	-3.844530E-6	-1.549730E-6
-4.413000E+2	-3.695500E-6	-1.728540E-6
-4.339000E+2	-4.828010E-6	-1.907360E-6
-4.295000E+2	-4.768400E-6	-2.175580E-6
-4.214000E+2	-4.768400E-6	-2.712030E-6
-4.163000E+2	-3.814730E-6	-2.920640E-6
-4.133000E+2	-3.576290E-6	-2.443800E-6
-4.035000E+2	-2.652420E-6	-6.258520E-7
-3.998000E+2	-1.758340E-6	1.788150E-7
-3.953000E+2	-1.966970E-6	2.086170E-7
-3.864000E+2	-1.937170E-6	8.642710E-7
-3.822000E+2	-2.205390E-6	3.278270E-7
-3.735000E+2	-3.486890E-6	-1.102690E-6
-3.691000E+2	-3.635900E-6	-1.192100E-6
-3.650000E+2	-3.993540E-6	-5.364450E-7
-3.574000E+2	-2.622620E-6	-7.152590E-7
-3.529000E+2	-2.145780E-6	-1.460320E-6
-3.442000E+2	-2.652420E-6	-2.592820E-6
-3.405000E+2	-2.741830E-6	-1.966970E-6
-3.355000E+2	-3.278270E-6	-1.251700E-6
-3.276000E+2	-2.950440E-6	-4.768410E-7
-3.225000E+2	-2.026570E-6	1.490130E-7
-3.147000E+2	-1.728540E-6	5.960500E-7
-3.102000E+2	-1.490120E-6	1.579530E-6
-3.046000E+2	-1.311310E-6	1.430520E-6
-2.975000E+2	-1.102690E-6	1.788150E-7
-2.914000E+2	-1.460320E-6	-5.364450E-7
-2.883000E+2	-1.996770E-6	-9.834840E-7
-2.787000E+2	-1.817950E-6	7.450620E-7
-2.736000E+2	-1.430520E-6	9.536820E-7
-2.706000E+2	-1.370910E-6	6.258520E-7
-2.617000E+2	-2.384200E-6	8.940740E-8
-2.590000E+2	-2.861040E-6	5.960500E-7
-2.491000E+2	-2.950440E-6	3.874320E-7
-2.460000E+2	-3.010050E-6	-2.980250E-8
