Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 20, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 1 mV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
6.960000E-5,-6.493000E+2,-5.245240E-6,2.980250E-7,5.253700E-6,1.767481E+2
1.105800E-2,-6.493000E+2,-5.245240E-6,2.980250E-7,5.253700E-6,1.767481E+2
2.012802E-1,-6.484000E+2,-4.887610E-6,4.172340E-7,4.905386E-6,1.751207E+2
4.012722E-1,-6.476000E+2,-5.006820E-6,-8.940730E-7,5.086021E-6,-1.698754E+2
6.012785E-1,-6.427000E+2,-5.126030E-6,-7.152590E-7,5.175691E-6,-1.720565E+2
8.012720E-1,-6.347000E+2,-5.543260E-6,5.960510E-8,5.543580E-6,1.793839E+2
1.001279E+0,-6.179000E+2,-5.304840E-6,4.172340E-7,5.321223E-6,1.755029E+2
1.201248E+0,-6.106000E+2,-5.245240E-6,6.556550E-7,5.286060E-6,1.728750E+2
1.401282E+0,-5.926000E+2,-4.112750E-6,4.768410E-7,4.140301E-6,1.733865E+2
1.602312E+0,-5.851000E+2,-3.933940E-6,-7.748640E-7,4.009526E-6,-1.688572E+2
1.805879E+0,-5.758000E+2,-4.053140E-6,-1.728540E-6,4.406336E-6,-1.569032E+2
2.001269E+0,-5.599000E+2,-2.980250E-6,-9.536820E-7,3.129121E-6,-1.622553E+2
2.201268E+0,-5.529000E+2,-4.053140E-6,-8.344690E-7,4.138150E-6,-1.683664E+2
2.402277E+0,-5.401000E+2,-3.635900E-6,-1.192100E-6,3.826339E-6,-1.618473E+2
2.601275E+0,-5.343000E+2,-2.920640E-6,-8.940730E-7,3.054424E-6,-1.629795E+2
2.802277E+0,-5.264000E+2,-2.205390E-6,4.768410E-7,2.256352E-6,1.677995E+2
3.001278E+0,-5.216000E+2,-2.384200E-6,2.980250E-7,2.402754E-6,1.728750E+2
3.202379E+0,-5.162000E+2,-3.099460E-6,-3.576300E-7,3.120024E-6,-1.734181E+2
3.401266E+0,-5.121000E+2,-3.039850E-6,-8.344690E-7,3.152305E-6,-1.646499E+2
3.602276E+0,-5.077000E+2,-3.337870E-6,-6.556550E-7,3.401655E-6,-1.688869E+2
