Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 20, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 1 mV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.493000E+2	-5.245240E-6	2.980250E-7
-6.493000E+2	-5.245240E-6	2.980250E-7
-6.484000E+2	-4.887610E-6	4.172340E-7
-6.476000E+2	-5.006820E-6	-8.940730E-7
-6.427000E+2	-5.126030E-6	-7.152590E-7
-6.347000E+2	-5.543260E-6	5.960510E-8
-6.179000E+2	-5.304840E-6	4.172340E-7
-6.106000E+2	-5.245240E-6	6.556550E-7
-5.926000E+2	-4.112750E-6	4.768410E-7
-5.851000E+2	-3.933940E-6	-7.748640E-7
-5.758000E+2	-4.053140E-6	-1.728540E-6
-5.599000E+2	-2.980250E-6	-9.536820E-7
-5.529000E+2	-4.053140E-6	-8.344690E-7
-5.401000E+2	-3.635900E-6	-1.192100E-6
-5.343000E+2	-2.920640E-6	-8.940730E-7
-5.264000E+2	-2.205390E-6	4.768410E-7
-5.216000E+2	-2.384200E-6	2.980250E-7
-5.162000E+2	-3.099460E-6	-3.576300E-7
-5.121000E+2	-3.039850E-6	-8.344690E-7
-5.077000E+2	-3.337870E-6	-6.556550E-7
-5.036000E+2	-3.457080E-6	-4.172340E-7
-4.982000E+2	-3.576290E-6	0.000000E+0
-4.936000E+2	-3.874330E-6	5.960500E-7
-4.910000E+2	-4.649190E-6	9.536820E-7
-4.814000E+2	-5.722080E-6	7.748640E-7
-4.784000E+2	-5.424050E-6	5.960500E-7
-4.692000E+2	-5.602870E-6	5.364450E-7
-4.658000E+2	-5.722080E-6	6.556550E-7
-4.568000E+2	-5.424050E-6	-2.384200E-7
-4.537000E+2	-5.841280E-6	-7.748640E-7
-4.444000E+2	-6.377730E-6	-1.668940E-6
-4.415000E+2	-6.377730E-6	-2.563010E-6
-4.325000E+2	-4.470380E-6	-3.218670E-6
-4.294000E+2	-4.231960E-6	-1.966970E-6
-4.243000E+2	-4.470380E-6	-1.549730E-6
-4.166000E+2	-5.304840E-6	-3.576300E-7
-4.119000E+2	-4.351170E-6	0.000000E+0
-4.035000E+2	-2.503410E-6	-1.192100E-6
-3.987000E+2	-3.159060E-6	-1.490120E-6
-3.934000E+2	-3.278270E-6	-1.907360E-6
-3.860000E+2	-3.278270E-6	-1.549730E-6
-3.811000E+2	-3.874330E-6	-1.311310E-6
-3.732000E+2	-3.635900E-6	-8.940730E-7
-3.680000E+2	-3.516690E-6	-7.748640E-7
-3.608000E+2	-4.112750E-6	-7.748640E-7
-3.559000E+2	-3.874330E-6	-1.072890E-6
-3.530000E+2	-3.755110E-6	-1.609330E-6
-3.431000E+2	-3.218670E-6	-6.556550E-7
-3.396000E+2	-3.397480E-6	1.788150E-7
-3.311000E+2	-3.814730E-6	1.788150E-7
-3.263000E+2	-3.755110E-6	4.172340E-7
-3.233000E+2	-3.755110E-6	4.768410E-7
-3.133000E+2	-3.814730E-6	1.192100E-7
-3.105000E+2	-3.337870E-6	1.788150E-7
-3.006000E+2	-2.503410E-6	-1.192100E-6
-2.970000E+2	-2.622620E-6	-8.344690E-7
-2.934000E+2	-2.801430E-6	-1.072890E-6
-2.838000E+2	-3.457080E-6	5.960510E-8
-2.800000E+2	-3.814730E-6	7.152590E-7
-2.745000E+2	-3.635900E-6	-1.788150E-7
-2.675000E+2	-3.516690E-6	-2.384200E-6
-2.624000E+2	-3.695500E-6	-2.563010E-6
-2.556000E+2	-4.053140E-6	-7.152590E-7
-2.506000E+2	-4.410770E-6	-4.172340E-7
-2.435000E+2	-5.066420E-6	-3.576300E-7
-2.388000E+2	-5.483660E-6	5.960510E-8
-2.321000E+2	-4.947210E-6	4.768410E-7
-2.269000E+2	-5.066420E-6	5.960510E-8
-2.197000E+2	-4.291560E-6	3.576300E-7
-2.137000E+2	-3.814730E-6	2.980250E-7
-2.109000E+2	-3.814730E-6	1.192100E-7
