Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 13, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.880000E-5,-6.367000E+2,9.536820E-7,1.192100E-7,9.611037E-7,7.125002E+0
1.346661E-1,-6.372000E+2,9.238760E-7,4.470370E-7,1.026347E-6,2.582100E+1
3.346398E-1,-6.369000E+2,5.364450E-7,4.470370E-7,6.982946E-7,3.980554E+1
5.356636E-1,-6.372000E+2,-9.238760E-7,1.043090E-6,1.393407E-6,1.315317E+2
7.346498E-1,-6.197000E+2,-1.877550E-6,8.046660E-7,2.042714E-6,1.568014E+2
9.356527E-1,-6.103000E+2,-2.443800E-6,5.960500E-7,2.515439E-6,1.662930E+2
1.134610E+0,-5.819000E+2,-1.251700E-6,-3.278270E-7,1.293918E-6,-1.653236E+2
1.334632E+0,-5.679000E+2,-5.960500E-7,-2.980250E-7,6.664042E-7,-1.534350E+2
1.534618E+0,-5.374000E+2,-4.470370E-7,5.960500E-7,7.450622E-7,1.268699E+2
1.734610E+0,-5.227000E+2,-1.013290E-6,1.788150E-6,2.055295E-6,1.195389E+2
1.934643E+0,-5.039000E+2,-1.579530E-6,1.668940E-6,2.297885E-6,1.334234E+2
2.135653E+0,-4.724000E+2,-1.221900E-6,3.874320E-7,1.281851E-6,1.624076E+2
2.334636E+0,-4.544000E+2,-1.341110E-6,-3.576300E-7,1.387975E-6,-1.650686E+2
2.534647E+0,-4.392000E+2,-1.698740E-6,-4.768410E-7,1.764396E-6,-1.643204E+2
2.734650E+0,-4.135000E+2,-2.026570E-6,-2.086170E-7,2.037279E-6,-1.741226E+2
2.934637E+0,-3.998000E+2,-1.966970E-6,0.000000E+0,1.966970E-6,1.800000E+2
3.134645E+0,-3.778000E+2,-2.235190E-6,5.066430E-7,2.291890E-6,1.672288E+2
3.334644E+0,-3.661000E+2,-2.264990E-6,5.960510E-8,2.265774E-6,1.784926E+2
3.534644E+0,-3.453000E+2,-2.861040E-6,1.490130E-7,2.864918E-6,1.770185E+2
3.735562E+0,-3.350000E+2,-2.384200E-6,7.152590E-7,2.489178E-6,1.633008E+2
3.934643E+0,-3.179000E+2,-1.609330E-6,-9.536820E-7,1.870682E-6,-1.493492E+2
4.135653E+0,-3.078000E+2,-2.056370E-6,-2.026570E-6,2.887151E-6,-1.354182E+2
4.334643E+0,-2.904000E+2,-2.056370E-6,-4.321370E-6,4.785697E-6,-1.154479E+2
4.534647E+0,-2.779000E+2,-1.758340E-6,-3.933940E-6,4.309019E-6,-1.140831E+2
4.734705E+0,-2.685000E+2,-1.609330E-6,-3.695500E-6,4.030715E-6,-1.135323E+2
4.934643E+0,-2.483000E+2,-3.278270E-7,-2.712030E-6,2.731772E-6,-9.689241E+1
5.134647E+0,-2.389000E+2,1.490130E-7,-2.503410E-6,2.507841E-6,-8.659355E+1
5.335649E+0,-2.176000E+2,-1.192100E-7,-1.460320E-6,1.465178E-6,-9.466687E+1
5.535679E+0,-2.084000E+2,-3.874320E-7,-1.311310E-6,1.367347E-6,-1.064600E+2
5.734640E+0,-1.845000E+2,-2.235190E-6,-2.324600E-6,3.224878E-6,-1.338767E+2
5.934643E+0,-1.748000E+2,-3.427280E-6,-1.549730E-6,3.761371E-6,-1.556687E+2
6.134695E+0,-1.649000E+2,-3.665700E-6,-9.536820E-7,3.787726E-6,-1.654170E+2
6.334648E+0,-1.412000E+2,-3.010050E-6,-8.642710E-7,3.131671E-6,-1.639797E+2
6.534643E+0,-1.322000E+2,-2.533210E-6,-9.536820E-7,2.706781E-6,-1.593701E+2
6.734649E+0,-1.111000E+2,-1.281510E-6,-5.066430E-7,1.378026E-6,-1.584287E+2
6.935655E+0,-1.018000E+2,-1.162300E-6,-5.364450E-7,1.280123E-6,-1.552249E+2
