Sample Name, Varga_handpulled_35.65G
Freq displayed, 3.568, GHz, Power, 13, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.367000E+2	9.536820E-7	1.192100E-7
-6.372000E+2	9.238760E-7	4.470370E-7
-6.369000E+2	5.364450E-7	4.470370E-7
-6.372000E+2	-9.238760E-7	1.043090E-6
-6.197000E+2	-1.877550E-6	8.046660E-7
-6.103000E+2	-2.443800E-6	5.960500E-7
-5.819000E+2	-1.251700E-6	-3.278270E-7
-5.679000E+2	-5.960500E-7	-2.980250E-7
-5.374000E+2	-4.470370E-7	5.960500E-7
-5.227000E+2	-1.013290E-6	1.788150E-6
-5.039000E+2	-1.579530E-6	1.668940E-6
-4.724000E+2	-1.221900E-6	3.874320E-7
-4.544000E+2	-1.341110E-6	-3.576300E-7
-4.392000E+2	-1.698740E-6	-4.768410E-7
-4.135000E+2	-2.026570E-6	-2.086170E-7
-3.998000E+2	-1.966970E-6	0.000000E+0
-3.778000E+2	-2.235190E-6	5.066430E-7
-3.661000E+2	-2.264990E-6	5.960510E-8
-3.453000E+2	-2.861040E-6	1.490130E-7
-3.350000E+2	-2.384200E-6	7.152590E-7
-3.179000E+2	-1.609330E-6	-9.536820E-7
-3.078000E+2	-2.056370E-6	-2.026570E-6
-2.904000E+2	-2.056370E-6	-4.321370E-6
-2.779000E+2	-1.758340E-6	-3.933940E-6
-2.685000E+2	-1.609330E-6	-3.695500E-6
-2.483000E+2	-3.278270E-7	-2.712030E-6
-2.389000E+2	1.490130E-7	-2.503410E-6
-2.176000E+2	-1.192100E-7	-1.460320E-6
-2.084000E+2	-3.874320E-7	-1.311310E-6
-1.845000E+2	-2.235190E-6	-2.324600E-6
-1.748000E+2	-3.427280E-6	-1.549730E-6
-1.649000E+2	-3.665700E-6	-9.536820E-7
-1.412000E+2	-3.010050E-6	-8.642710E-7
-1.322000E+2	-2.533210E-6	-9.536820E-7
-1.111000E+2	-1.281510E-6	-5.066430E-7
-1.018000E+2	-1.162300E-6	-5.364450E-7
-8.140000E+1	-6.854570E-7	-5.960500E-7
-7.150000E+1	-1.192100E-6	-5.960500E-7
-5.150000E+1	-5.364450E-7	-1.013290E-6
-4.110000E+1	1.251700E-6	-9.238760E-7
-2.150000E+1	3.218670E-6	-1.311310E-6
-1.060000E+1	3.129260E-6	-1.877550E-6
8.800000E+0	-1.788150E-7	-1.788150E-6
2.170000E+1	-1.877550E-6	-1.609330E-6
3.280000E+1	-3.784910E-6	-1.192100E-6
5.240000E+1	-6.169110E-6	1.043090E-6
6.270000E+1	-5.185630E-6	1.311310E-6
8.440000E+1	-1.519930E-6	-3.278270E-7
9.550000E+1	-8.046660E-7	-1.192100E-7
1.046000E+2	-2.980250E-8	-6.556550E-7
1.258000E+2	8.642710E-7	-1.490130E-7
1.459000E+2	1.817950E-6	4.768410E-7
1.559000E+2	2.264990E-6	1.549730E-6
1.650000E+2	2.503410E-6	2.443800E-6
1.858000E+2	3.039850E-6	1.490120E-6
2.068000E+2	3.159060E-6	1.370910E-6
2.160000E+2	2.503410E-6	4.768410E-7
2.289000E+2	2.264990E-6	-2.980250E-8
2.492000E+2	6.556550E-7	-1.966970E-6
2.587000E+2	7.748640E-7	-2.712030E-6
2.729000E+2	1.639140E-6	-3.308070E-6
2.922000E+2	2.175580E-6	-2.950440E-6
3.033000E+2	2.056370E-6	-2.294790E-6
3.247000E+2	2.443800E-6	-2.056370E-6
3.359000E+2	2.920640E-6	-1.311310E-6
3.554000E+2	2.473610E-6	5.066430E-7
3.666000E+2	2.354400E-6	1.132500E-6
3.861000E+2	2.652420E-6	8.940730E-7
3.973000E+2	2.712030E-6	8.642710E-7
4.170000E+2	2.294790E-6	2.980250E-7
4.277000E+2	1.281510E-6	9.834840E-7
4.480000E+2	2.980250E-7	1.102690E-6
4.583000E+2	5.960510E-8	1.013290E-6
