Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.750000E-5,-6.472000E+2,-2.443800E-6,-1.579530E-6,2.909824E-6,-1.471237E+2
1.750000E-5,-6.472000E+2,-2.443800E-6,-1.579530E-6,3.381499E-6,-1.577297E+2
3.873006E-1,-6.474000E+2,-3.337870E-6,-8.642710E-7,3.447947E-6,-1.654833E+2
5.882149E-1,-6.396000E+2,-2.205390E-6,-8.046660E-7,2.347601E-6,-1.599548E+2
7.871857E-1,-6.326000E+2,-8.344690E-7,-8.940730E-7,1.222990E-6,-1.330251E+2
9.872272E-1,-6.209000E+2,-6.258520E-7,-9.834840E-7,1.165732E-6,-1.224711E+2
1.187249E+0,-5.986000E+2,-1.132500E-6,-1.102690E-6,1.580659E-6,-1.357641E+2
1.387213E+0,-5.891000E+2,-1.728540E-6,-8.344690E-7,1.919424E-6,-1.542306E+2
1.587300E+0,-5.779000E+2,-2.473610E-6,2.980250E-8,2.473790E-6,1.793097E+2
1.788215E+0,-5.569000E+2,-1.251700E-6,1.370910E-6,1.856380E-6,1.323974E+2
1.988179E+0,-5.467000E+2,-8.940740E-8,1.490120E-6,1.492800E-6,9.343364E+1
2.188179E+0,-5.306000E+2,3.874320E-7,1.192100E-7,4.053573E-7,1.710275E+1
2.387231E+0,-5.219000E+2,-2.086170E-7,1.788150E-7,2.747651E-7,1.393986E+2
2.587180E+0,-5.100000E+2,-1.192100E-7,1.490130E-7,1.908295E-7,1.286597E+2
2.787187E+0,-5.036000E+2,7.152590E-7,5.662480E-7,9.122676E-7,3.836755E+1
2.987181E+0,-4.982000E+2,1.221900E-6,1.788150E-7,1.234915E-6,8.325667E+0
3.188215E+0,-4.912000E+2,7.152590E-7,-6.258520E-7,9.504137E-7,-4.118594E+1
3.387215E+0,-4.874000E+2,0.000000E+0,-1.162300E-6,1.162300E-6,-9.000000E+1
3.588215E+0,-4.833000E+2,-1.966970E-6,-8.642710E-7,2.148473E-6,-1.562797E+2
3.787217E+0,-4.805000E+2,-2.294790E-6,-1.102690E-6,2.545975E-6,-1.543348E+2
3.987224E+0,-4.793000E+2,-2.324600E-6,-1.847750E-6,2.969503E-6,-1.415199E+2
4.187218E+0,-4.722000E+2,-3.099460E-6,-1.579530E-6,3.478731E-6,-1.529959E+2
4.387288E+0,-4.692000E+2,-2.443800E-6,-1.281510E-6,2.759425E-6,-1.523278E+2
4.588215E+0,-4.616000E+2,-1.698740E-6,-9.238760E-7,1.933718E-6,-1.514600E+2
4.787216E+0,-4.572000E+2,-1.072890E-6,-1.192100E-6,1.603807E-6,-1.319872E+2
4.987184E+0,-4.541000E+2,-8.046660E-7,-9.834840E-7,1.270720E-6,-1.292893E+2
