Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.472000E+2	-2.443800E-6	-1.579530E-6
-6.472000E+2	-2.443800E-6	-1.579530E-6
-6.474000E+2	-3.337870E-6	-8.642710E-7
-6.396000E+2	-2.205390E-6	-8.046660E-7
-6.326000E+2	-8.344690E-7	-8.940730E-7
-6.209000E+2	-6.258520E-7	-9.834840E-7
-5.986000E+2	-1.132500E-6	-1.102690E-6
-5.891000E+2	-1.728540E-6	-8.344690E-7
-5.779000E+2	-2.473610E-6	2.980250E-8
-5.569000E+2	-1.251700E-6	1.370910E-6
-5.467000E+2	-8.940740E-8	1.490120E-6
-5.306000E+2	3.874320E-7	1.192100E-7
-5.219000E+2	-2.086170E-7	1.788150E-7
-5.100000E+2	-1.192100E-7	1.490130E-7
-5.036000E+2	7.152590E-7	5.662480E-7
-4.982000E+2	1.221900E-6	1.788150E-7
-4.912000E+2	7.152590E-7	-6.258520E-7
-4.874000E+2	0.000000E+0	-1.162300E-6
-4.833000E+2	-1.966970E-6	-8.642710E-7
-4.805000E+2	-2.294790E-6	-1.102690E-6
-4.793000E+2	-2.324600E-6	-1.847750E-6
-4.722000E+2	-3.099460E-6	-1.579530E-6
-4.692000E+2	-2.443800E-6	-1.281510E-6
-4.616000E+2	-1.698740E-6	-9.238760E-7
-4.572000E+2	-1.072890E-6	-1.192100E-6
-4.541000E+2	-8.046660E-7	-9.834840E-7
-4.450000E+2	-1.519930E-6	-1.788150E-6
-4.412000E+2	-1.043090E-6	-2.145780E-6
-4.322000E+2	1.490130E-7	-1.430520E-6
-4.276000E+2	5.662480E-7	-8.642710E-7
-4.195000E+2	-3.278270E-7	5.960510E-8
-4.147000E+2	-2.384200E-7	3.278270E-7
-4.073000E+2	-9.238760E-7	6.258520E-7
-4.022000E+2	-1.132500E-6	1.460320E-6
-3.986000E+2	-1.043090E-6	1.311310E-6
-3.901000E+2	5.662480E-7	5.066430E-7
-3.857000E+2	9.536820E-7	6.556550E-7
-3.783000E+2	5.066430E-7	1.907360E-6
-3.744000E+2	-3.278270E-7	1.966970E-6
-3.663000E+2	-5.364450E-7	2.980250E-8
-3.614000E+2	0.000000E+0	-1.370910E-6
-3.539000E+2	9.238760E-7	-1.728540E-6
-3.496000E+2	3.576300E-7	-1.341110E-6
-3.416000E+2	3.278270E-7	-1.400720E-6
-3.380000E+2	0.000000E+0	-9.238760E-7
-3.347000E+2	-8.642710E-7	-8.940740E-8
-3.247000E+2	-3.278270E-6	-5.066430E-7
-3.219000E+2	-3.576290E-6	-2.384200E-7
-3.131000E+2	-3.457080E-6	3.874320E-7
-3.099000E+2	-3.993540E-6	2.682230E-7
-3.013000E+2	-3.933940E-6	4.470370E-7
-2.977000E+2	-3.755110E-6	5.960500E-7
-2.896000E+2	-1.490120E-6	9.536820E-7
-2.854000E+2	-5.364450E-7	7.152590E-7
-2.779000E+2	6.556550E-7	-1.251700E-6
-2.732000E+2	6.258520E-7	-1.490120E-6
-2.689000E+2	8.344690E-7	-8.940730E-7
-2.609000E+2	9.238760E-7	7.152590E-7
-2.560000E+2	2.980250E-7	1.311310E-6
-2.488000E+2	-2.980250E-7	2.115980E-6
-2.415000E+2	-1.251700E-6	9.238760E-7
-2.365000E+2	-9.238760E-7	5.960500E-7
-2.327000E+2	-5.960510E-8	5.662480E-7
-2.244000E+2	0.000000E+0	2.384200E-7
-2.211000E+2	-8.046660E-7	1.192100E-7
-2.125000E+2	-8.940730E-7	3.278270E-7
-2.094000E+2	-9.238760E-7	6.556550E-7
-2.005000E+2	-4.768410E-7	6.258520E-7
-1.977000E+2	-5.364450E-7	9.536820E-7
-1.889000E+2	-1.758340E-6	1.341110E-6
-1.859000E+2	-1.996770E-6	1.132500E-6
-1.771000E+2	-1.341110E-6	4.172340E-7
-1.737000E+2	-7.748640E-7	4.470370E-7
