Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
4.120000E-5,-6.688000E+2,8.642710E-7,-8.940730E-7,1.243516E-6,-4.597101E+1
1.293660E-1,-6.682000E+2,1.490130E-7,-1.043090E-6,1.053680E-6,-8.186989E+1
3.293617E-1,-6.688000E+2,4.768410E-7,-1.370910E-6,1.451472E-6,-7.082089E+1
5.294283E-1,-6.604000E+2,3.576300E-7,-8.940730E-7,9.629464E-7,-6.819855E+1
7.293905E-1,-6.525000E+2,3.576300E-7,1.490130E-7,3.874327E-7,2.261993E+1
9.293908E-1,-6.286000E+2,9.238760E-7,9.238760E-7,1.306558E-6,4.500000E+1
1.129395E+0,-6.161000E+2,8.642710E-7,1.043090E-6,1.354622E-6,5.035594E+1
1.329385E+0,-6.006000E+2,3.278270E-7,1.311310E-6,1.351667E-6,7.596378E+1
1.529385E+0,-5.707000E+2,3.278270E-7,-5.960510E-8,3.332016E-7,-1.030488E+1
1.729361E+0,-5.502000E+2,-5.066430E-7,1.192100E-7,5.204788E-7,1.667595E+2
1.929394E+0,-5.188000E+2,-8.940730E-7,6.258520E-7,1.091356E-6,1.450079E+2
2.130440E+0,-5.020000E+2,-2.682230E-7,5.960510E-8,2.747660E-7,1.674712E+2
2.329391E+0,-4.866000E+2,4.172340E-7,-5.662480E-7,7.033641E-7,-5.361574E+1
2.530428E+0,-4.540000E+2,2.086170E-7,-1.102690E-6,1.122251E-6,-7.928688E+1
2.729452E+0,-4.397000E+2,5.960510E-8,-1.728540E-6,1.729567E-6,-8.802506E+1
2.929392E+0,-4.144000E+2,-9.536820E-7,-1.907360E-6,2.132494E-6,-1.165651E+2
3.129361E+0,-3.996000E+2,-4.470370E-7,-1.519930E-6,1.584307E-6,-1.063895E+2
3.330402E+0,-3.793000E+2,-1.788150E-7,-1.668940E-6,1.678492E-6,-9.611551E+1
3.529390E+0,-3.689000E+2,-8.940730E-7,-1.192100E-6,1.490124E-6,-1.268698E+2
3.729385E+0,-3.514000E+2,-2.115980E-6,-7.748640E-7,2.253394E-6,-1.598875E+2
3.929410E+0,-3.423000E+2,-2.443800E-6,-6.258520E-7,2.522667E-6,-1.656354E+2
4.130396E+0,-3.346000E+2,-2.741830E-6,-6.258520E-7,2.812352E-6,-1.671419E+2
4.329350E+0,-3.135000E+2,-4.768410E-7,2.980250E-7,5.623133E-7,1.479947E+2
4.529384E+0,-3.053000E+2,1.788150E-7,5.662480E-7,5.938111E-7,7.247445E+1
4.729352E+0,-2.851000E+2,1.281510E-6,2.026570E-6,2.397760E-6,5.769262E+1
4.929354E+0,-2.764000E+2,1.430520E-6,1.996770E-6,2.456314E-6,5.438155E+1
