Sample Name, Varga_handpulled_Klyst36G
Freq displayed, 3.568, GHz, Power, 8, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Field	X	Y
Oe	V	V
*
-6.688000E+2	8.642710E-7	-8.940730E-7
-6.682000E+2	1.490130E-7	-1.043090E-6
-6.688000E+2	4.768410E-7	-1.370910E-6
-6.604000E+2	3.576300E-7	-8.940730E-7
-6.525000E+2	3.576300E-7	1.490130E-7
-6.286000E+2	9.238760E-7	9.238760E-7
-6.161000E+2	8.642710E-7	1.043090E-6
-6.006000E+2	3.278270E-7	1.311310E-6
-5.707000E+2	3.278270E-7	-5.960510E-8
-5.502000E+2	-5.066430E-7	1.192100E-7
-5.188000E+2	-8.940730E-7	6.258520E-7
-5.020000E+2	-2.682230E-7	5.960510E-8
-4.866000E+2	4.172340E-7	-5.662480E-7
-4.540000E+2	2.086170E-7	-1.102690E-6
-4.397000E+2	5.960510E-8	-1.728540E-6
-4.144000E+2	-9.536820E-7	-1.907360E-6
-3.996000E+2	-4.470370E-7	-1.519930E-6
-3.793000E+2	-1.788150E-7	-1.668940E-6
-3.689000E+2	-8.940730E-7	-1.192100E-6
-3.514000E+2	-2.115980E-6	-7.748640E-7
-3.423000E+2	-2.443800E-6	-6.258520E-7
-3.346000E+2	-2.741830E-6	-6.258520E-7
-3.135000E+2	-4.768410E-7	2.980250E-7
-3.053000E+2	1.788150E-7	5.662480E-7
-2.851000E+2	1.281510E-6	2.026570E-6
-2.764000E+2	1.430520E-6	1.996770E-6
-2.550000E+2	1.817950E-6	1.311310E-6
-2.456000E+2	1.728540E-6	1.430520E-6
-2.243000E+2	6.258520E-7	5.364450E-7
-2.144000E+2	5.066430E-7	-2.980250E-8
-2.144000E+2	5.066430E-7	-2.980250E-8
-1.832000E+2	-1.609330E-6	-1.311310E-6
-1.600000E+2	-2.026570E-6	-7.450620E-7
-1.505000E+2	-1.162300E-6	-6.854570E-7
-1.393000E+2	2.384200E-7	-7.748640E-7
-1.202000E+2	1.609330E-6	-5.960510E-8
-1.003000E+2	1.668940E-6	6.854570E-7
-9.000000E+1	1.490120E-6	1.490130E-7
-7.710000E+1	1.519930E-6	-2.980250E-7
-6.750000E+1	1.490120E-6	-5.960500E-7
-4.500000E+1	3.188860E-6	-1.788150E-7
-3.450000E+1	4.202160E-6	2.980250E-7
-1.450000E+1	6.526740E-6	1.370910E-6
-4.700000E+0	6.824760E-6	1.162300E-6
1.570000E+1	4.172350E-6	-1.162300E-6
2.500000E+1	1.132500E-6	-2.175580E-6
4.620000E+1	-6.377730E-6	-1.668940E-6
5.520000E+1	-7.510210E-6	-8.940740E-8
7.610000E+1	-5.275040E-6	1.460320E-6
8.800000E+1	-4.172350E-6	1.728540E-6
9.780000E+1	-3.188860E-6	1.877550E-6
1.212000E+2	-1.728540E-6	1.788150E-7
1.313000E+2	-1.490120E-6	1.490130E-7
1.516000E+2	-4.470370E-7	8.940740E-8
1.640000E+2	3.576300E-7	3.278270E-7
1.848000E+2	1.579530E-6	-5.960500E-7
1.946000E+2	1.609330E-6	-1.102690E-6
2.148000E+2	1.341110E-6	-2.235190E-6
2.251000E+2	1.132500E-6	-2.890840E-6
2.359000E+2	1.311310E-6	-2.950440E-6
2.556000E+2	1.996770E-6	-1.639140E-6
2.750000E+2	1.698740E-6	0.000000E+0
2.861000E+2	1.162300E-6	4.768410E-7
2.987000E+2	5.662480E-7	8.642710E-7
3.182000E+2	-1.877550E-6	2.056370E-6
3.287000E+2	-2.443800E-6	1.728540E-6
3.489000E+2	-2.175580E-6	-4.470370E-7
3.590000E+2	-1.639140E-6	-2.384200E-7
3.796000E+2	-9.536820E-7	2.026570E-6
3.892000E+2	-9.238760E-7	3.039850E-6
4.095000E+2	-3.576300E-7	2.473610E-6
4.197000E+2	-2.980250E-7	1.996770E-6
4.291000E+2	5.066430E-7	1.311310E-6
4.530000E+2	1.549730E-6	3.278270E-7
4.627000E+2	4.768410E-7	4.470370E-7
