Sample Name, Varga_5_4_35.65G
Freq displayed, 3.568, GHz, Power, 15, dBm, 35.65 Ghz, adjusted black knob, disconnected voltmeter
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.840000E-5,-6.527000E+2,9.030160E-6,2.443800E-6,9.354996E-6,1.514302E+1
7.207010E-2,-6.527000E+2,9.030160E-6,2.443800E-6,9.354996E-6,1.514302E+1
2.714019E-1,-6.518000E+2,9.656010E-6,7.450620E-7,9.684712E-6,4.412225E+0
4.714407E-1,-6.519000E+2,9.208980E-6,8.642710E-7,9.249447E-6,5.361555E+0
6.714723E-1,-6.372000E+2,7.718860E-6,7.152590E-7,7.751928E-6,5.294127E+0
8.724733E-1,-6.296000E+2,8.165890E-6,-5.960510E-8,8.166108E-6,-4.182104E-1
1.071437E+0,-6.194000E+2,8.642730E-6,-5.960500E-7,8.663259E-6,-3.945184E+0
1.272440E+0,-5.980000E+2,8.791740E-6,-8.344690E-7,8.831253E-6,-5.421992E+0
1.471513E+0,-5.879000E+2,8.165890E-6,-4.172340E-7,8.176542E-6,-2.924969E+0
1.672444E+0,-5.687000E+2,7.271800E-6,-8.940730E-7,7.326557E-6,-7.009378E+0
1.871437E+0,-5.587000E+2,7.659260E-6,-1.102690E-6,7.738229E-6,-8.192479E+0
2.072441E+0,-5.423000E+2,7.957280E-6,-5.662480E-7,7.977402E-6,-4.070364E+0
2.271512E+0,-5.335000E+2,8.195700E-6,8.940740E-8,8.196188E-6,6.250184E-1
2.471438E+0,-5.197000E+2,9.566600E-6,5.662480E-7,9.583343E-6,3.387391E+0
2.671407E+0,-5.139000E+2,1.156340E-5,-5.960500E-7,1.157875E-5,-2.950772E+0
2.872441E+0,-5.054000E+2,1.373890E-5,-1.788150E-7,1.374006E-5,-7.456759E-1
3.071510E+0,-5.009000E+2,1.385810E-5,-2.384200E-7,1.386015E-5,-9.856411E-1
3.272449E+0,-4.977000E+2,1.329190E-5,-3.576300E-7,1.329671E-5,-1.541220E+0
3.471439E+0,-4.918000E+2,1.344090E-5,-4.172340E-7,1.344737E-5,-1.778011E+0
3.672509E+0,-4.897000E+2,1.424560E-5,-8.940730E-7,1.427363E-5,-3.591250E+0
3.872436E+0,-4.838000E+2,1.379850E-5,-1.490120E-6,1.387873E-5,-6.163568E+0
4.071404E+0,-4.819000E+2,1.290450E-5,-9.238760E-7,1.293753E-5,-4.095008E+0
4.271433E+0,-4.745000E+2,1.254680E-5,-5.960500E-7,1.256095E-5,-2.719856E+0
4.471453E+0,-4.713000E+2,1.263620E-5,1.192100E-7,1.263676E-5,5.405128E-1
4.671409E+0,-4.635000E+2,1.350050E-5,5.662480E-7,1.351237E-5,2.401734E+0
4.871419E+0,-4.605000E+2,1.403700E-5,6.556550E-7,1.405230E-5,2.674288E+0
