Sample Name, Varga_5_4_Klyst36G
Freq displayed, 3.568, GHz, Power, 21, mV
SR850: f = 25 Hz; phase = -84 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
4.720000E-5,-6.487000E+2,3.159060E-6,-3.308070E-6,4.574165E-6,-4.631993E+1
1.336438E-1,-6.490000E+2,3.159060E-6,-2.890840E-6,4.282128E-6,-4.246148E+1
3.336655E-1,-6.487000E+2,3.427280E-6,-1.370910E-6,3.691293E-6,-2.180138E+1
5.336735E-1,-6.445000E+2,4.321370E-6,-3.874320E-7,4.338703E-6,-5.123150E+0
7.326302E-1,-6.411000E+2,4.470380E-6,-5.960510E-8,4.470777E-6,-7.638989E-1
9.325919E-1,-6.354000E+2,4.172350E-6,7.450620E-7,4.238351E-6,1.012467E+1
1.132643E+0,-6.238000E+2,4.380970E-6,-6.258520E-7,4.425448E-6,-8.130092E+0
1.333640E+0,-6.171000E+2,3.606100E-6,-3.874320E-7,3.626853E-6,-6.132219E+0
1.532630E+0,-6.043000E+2,3.248470E-6,5.364450E-7,3.292466E-6,9.377068E+0
1.732683E+0,-5.995000E+2,2.354400E-6,3.278270E-7,2.377114E-6,7.926907E+0
1.932650E+0,-5.929000E+2,7.748640E-7,6.258520E-7,9.960446E-7,3.892756E+1
2.133668E+0,-5.811000E+2,5.960500E-7,6.556550E-7,8.860920E-7,4.772631E+1
2.333629E+0,-5.746000E+2,1.788150E-7,1.072890E-6,1.087689E-6,8.053768E+1
2.532633E+0,-5.688000E+2,-8.940740E-8,1.460320E-6,1.463054E-6,9.350354E+1
2.732632E+0,-5.606000E+2,3.576300E-7,2.473610E-6,2.499329E-6,8.177329E+1
2.933634E+0,-5.550000E+2,8.344690E-7,2.324600E-6,2.469839E-6,7.025323E+1
3.132630E+0,-5.485000E+2,2.384200E-6,1.043090E-6,2.602392E-6,2.362943E+1
3.332630E+0,-5.439000E+2,2.503410E-6,7.450620E-7,2.611930E-6,1.657400E+1
3.532629E+0,-5.412000E+2,2.592820E-6,4.768410E-7,2.636303E-6,1.042072E+1
3.733629E+0,-5.325000E+2,2.622620E-6,7.748640E-7,2.734694E-6,1.646000E+1
3.933632E+0,-5.290000E+2,2.890840E-6,6.258520E-7,2.957811E-6,1.221572E+1
4.132624E+0,-5.211000E+2,2.861040E-6,5.960510E-8,2.861661E-6,1.193491E+0
4.333632E+0,-5.179000E+2,2.861040E-6,-2.384200E-7,2.870957E-6,-4.763642E+0
4.532629E+0,-5.091000E+2,3.397480E-6,5.960510E-8,3.398003E-6,1.005089E+0
4.733633E+0,-5.062000E+2,3.725300E-6,6.258520E-7,3.777506E-6,9.536660E+0
4.933633E+0,-4.972000E+2,3.516690E-6,5.960500E-7,3.566845E-6,9.619741E+0
